ip_address,hostname,mac_address,device_type,manufacturer,model,is_managed,has_security_patches,encryption_enabled,authentication_required,firewall_protected,access_control,vulnerabilities,cve_count,last_seen,confidence_level,firmware_version,protocol
192.168.15.2,,00:1B:3C:4D:5E:30,Switch,Hirschmann,Unknown,false,false,false,false,true,None,6,3,2024-11-04,60,Unknown,Unknown
192.168.10.150,CAM-CDU-NORTH,00:1A:2B:3C:4D:50,Camera,Axis,P1375,false,false,false,false,true,None,3,1,2024-11-05,80,9.80.1,RTSP
192.168.30.40,VFD-PUMP-01,00:4F:7A:8B:9C:01,VFD,ABB,ACS880,true,false,false,true,true,Basic,1,0,2024-11-05,90,v3.7.2,EtherNet/IP
192.168.25.20,TANK-01-CTRL,00:5A:8B:9C:AD:01,Controller,Emerson,DeltaV,true,true,true,true,true,RBAC,0,0,2024-11-05,98,v14.3,DeltaV Protocol
192.168.18.10,PLC-REF-001,00:6B:9C:AD:BE:01,PLC,Yokogawa,Stardom,true,false,false,true,true,Role-Based,3,2,2024-11-05,92,R4.03,Modbus TCP
192.168.18.20,,00:6B:9C:AD:BE:02,HMI,Yokogawa,Unknown,false,false,false,false,true,None,7,4,2024-11-03,70,Unknown,Proprietary
192.168.18.101,XMTR-MULTI-01,00:6B:9C:AD:BE:10,Smart_Transmitter,Yokogawa,EJA530E,false,false,false,false,true,None,0,0,2024-11-05,85,v3.1,HART-IP
192.168.35.10,PLC-UTIL-01,00:7C:AD:BE:CF:01,PLC,Mitsubishi,FX5U,false,false,false,false,true,None,4,2,2024-11-04,75,v1.270,Modbus TCP
192.168.35.30,COMP-01-CTRL,00:7C:AD:BE:CF:02,Controller,Siemens,S7-300,true,false,false,true,true,Role-Based,8,5,2024-11-02,80,v5.5,Profinet
192.168.5.99,GPS-TIMESYNC,00:3D:5E:6F:7A:10,Time_Server,Meinberg,Unknown,false,false,false,false,true,None,0,0,2024-11-05,90,Unknown,NTP
192.168.5.70,,00:3D:5E:6F:7A:11,Printer,HP,Unknown,false,false,false,false,false,None,2,1,2024-11-01,60,Unknown,LPD
192.168.5.80,UPS-MONITOR,00:3D:5E:6F:7A:12,UPS,APC,Smart-UPS,false,false,false,false,true,None,1,0,2024-11-05,75,v6.8.5,SNMP
192.168.10.99,,00:1A:2B:3C:4D:99,Unknown,Unknown,Unknown,false,false,false,false,false,None,0,0,2024-11-05,40,Unknown,Unknown
192.168.75.123,UNKNOWN-DEVICE-1,AA:BB:CC:DD:EE:01,Unknown,Unknown,Unknown,false,false,false,false,false,None,0,0,2024-10-15,30,Unknown,Unknown
192.168.75.124,,AA:BB:CC:DD:EE:02,Generic,Unknown,Unknown,false,false,false,false,false,None,0,0,2024-09-22,25,Unknown,Unknown
192.168.50.50,CONTRACTOR-LAPTOP,11:22:33:44:55:01,Laptop,Dell,Unknown,false,false,false,false,false,None,18,9,2024-11-04,70,Win11,TCP/IP
10.10.10.15,REMOTE-ACCESS-VPN,22:33:44:55:66:01,VPN_Client,Unknown,Unknown,false,false,true,true,false,None,0,0,2024-11-03,50,Unknown,OpenVPN

