asset_id,asset_name,asset_type,parent_unit,process_function,criticality,business_impact,failure_consequence,location,manufacturer,model
A0048,CDU-REACTOR-007,REACTOR,CDU,Chemical_Conversion,Critical,High,Unit_Shutdown,CDU-G65,Siemens,Siemens_REACTOR_1094
A0049,CDU-REACTOR-008,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-H74,Flowserve,Flowserve_REACTOR_943
A0050,CDU-REACTOR-009,REACTOR,CDU,Chemical_Conversion,Critical,High,Production_Impact,CDU-K69,GE,GE_REACTOR_345
A0051,CDU-REACTOR-010,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,CDU-C96,Siemens,Siemens_REACTOR_983
A0052,CDU-REACTOR-011,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-M68,Flowserve,Flowserve_REACTOR_183
A0053,CDU-REACTOR-012,REACTOR,CDU,Chemical_Conversion,Critical,High,Production_Impact,CDU-X57,KSB,KSB_REACTOR_708
A0054,CDU-REACTOR-013,REACTOR,CDU,Chemical_Conversion,Critical,Very_High,Production_Impact,CDU-N58,Flowserve,Flowserve_REACTOR_558
A0055,CDU-REACTOR-014,REACTOR,CDU,Chemical_Conversion,Critical,High,Unit_Shutdown,CDU-H35,Sulzer,Sulzer_REACTOR_378
A0056,CDU-COLUMN-001,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-F35,Honeywell,Honeywell_COLUMN_417
A0057,CDU-COLUMN-002,COLUMN,CDU,Separation,Critical,High,Unit_Shutdown,CDU-N7,Sulzer,Sulzer_COLUMN_894
A0058,CDU-COLUMN-003,COLUMN,CDU,Separation,Critical,Very_High,Unit_Shutdown,CDU-J89,Honeywell,Honeywell_COLUMN_103
A0059,CDU-COLUMN-004,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-R73,Emerson,Emerson_COLUMN_103
A0060,CDU-COLUMN-005,COLUMN,CDU,Separation,Critical,Very_High,Unit_Shutdown,CDU-X89,Flowserve,Flowserve_COLUMN_485
A0061,CDU-COLUMN-006,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-L31,Emerson,Emerson_COLUMN_288
A0062,CDU-COLUMN-007,COLUMN,CDU,Separation,Critical,High,Unit_Shutdown,CDU-E49,Flowserve,Flowserve_COLUMN_410
A0063,CDU-COLUMN-008,COLUMN,CDU,Separation,Critical,High,Unit_Shutdown,CDU-I94,Sulzer,Sulzer_COLUMN_111
A0064,CDU-COLUMN-009,COLUMN,CDU,Separation,Critical,High,Unit_Shutdown,CDU-Z76,GE,GE_COLUMN_694
A0065,CDU-COLUMN-010,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-D64,Siemens,Siemens_COLUMN_463
A0066,CDU-COLUMN-011,COLUMN,CDU,Separation,Critical,High,Production_Impact,CDU-L58,Siemens,Siemens_COLUMN_825
A0067,CDU-COLUMN-012,COLUMN,CDU,Separation,Critical,High,Unit_Shutdown,CDU-C29,Honeywell,Honeywell_COLUMN_498
A0068,CDU-COLUMN-013,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-N67,Flowserve,Flowserve_COLUMN_522
A0069,CDU-COLUMN-014,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-L23,KSB,KSB_COLUMN_355
A0070,CDU-COLUMN-015,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-X33,Grundfos,Grundfos_COLUMN_307
A0071,CDU-COLUMN-016,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-G29,Sulzer,Sulzer_COLUMN_245
A0072,CDU-COLUMN-017,COLUMN,CDU,Separation,Critical,Very_High,Production_Impact,CDU-C91,Honeywell,Honeywell_COLUMN_879
A0073,CDU-FURNACE-001,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-C56,Flowserve,Flowserve_FURNACE_762
A0074,CDU-FURNACE-002,FURNACE,CDU,Heat_Generation,Critical,High,Production_Impact,CDU-Y5,Flowserve,Flowserve_FURNACE_248
A0075,CDU-FURNACE-003,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-Q59,KSB,KSB_FURNACE_567
A0076,CDU-FURNACE-004,FURNACE,CDU,Heat_Generation,Critical,High,Production_Impact,CDU-Q31,KSB,KSB_FURNACE_361
A0077,CDU-FURNACE-005,FURNACE,CDU,Heat_Generation,Critical,High,Production_Impact,CDU-H42,Sulzer,Sulzer_FURNACE_479
A0078,CDU-FURNACE-006,FURNACE,CDU,Heat_Generation,Critical,Very_High,Production_Impact,CDU-I1,Flowserve,Flowserve_FURNACE_158
A0079,CDU-FURNACE-007,FURNACE,CDU,Heat_Generation,Critical,Very_High,Unit_Shutdown,CDU-U42,Emerson,Emerson_FURNACE_407
A0080,CDU-FURNACE-008,FURNACE,CDU,Heat_Generation,Critical,Very_High,Unit_Shutdown,CDU-K18,Siemens,Siemens_FURNACE_261
A0081,CDU-FURNACE-009,FURNACE,CDU,Heat_Generation,Critical,Very_High,Production_Impact,CDU-A15,Siemens,Siemens_FURNACE_944
A0082,CDU-FURNACE-010,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-A19,KSB,KSB_FURNACE_947
A0083,CDU-FURNACE-011,FURNACE,CDU,Heat_Generation,Critical,High,Production_Impact,CDU-N94,Sulzer,Sulzer_FURNACE_774
A0084,CDU-FURNACE-012,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-F41,Emerson,Emerson_FURNACE_422
A0085,CDU-FURNACE-013,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-F98,Emerson,Emerson_FURNACE_125
A0086,CDU-FURNACE-014,FURNACE,CDU,Heat_Generation,Critical,Very_High,Unit_Shutdown,CDU-W41,Emerson,Emerson_FURNACE_321
A0087,CDU-FURNACE-015,FURNACE,CDU,Heat_Generation,Critical,High,Unit_Shutdown,CDU-U66,Grundfos,Grundfos_FURNACE_140
A0088,CDU-FURNACE-016,FURNACE,CDU,Heat_Generation,Critical,Very_High,Production_Impact,CDU-B38,Emerson,Emerson_FURNACE_143
A0089,CDU-VALVE_CONTROL-001,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Production_Impact,CDU-C83,Emerson,Emerson_VALVE_CONTROL_251
A0090,CDU-VALVE_CONTROL-002,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Production_Impact,CDU-F48,Emerson,Emerson_VALVE_CONTROL_153
A0091,CDU-VALVE_CONTROL-003,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Quality_Impact,CDU-W76,KSB,KSB_VALVE_CONTROL_779
A0092,CDU-VALVE_CONTROL-004,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Quality_Impact,CDU-G44,Emerson,Emerson_VALVE_CONTROL_934
A0093,CDU-VALVE_CONTROL-005,VALVE_CONTROL,CDU,Flow_Control,High,High,Quality_Impact,CDU-Z11,GE,GE_VALVE_CONTROL_721
A0094,CDU-VALVE_CONTROL-006,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Production_Impact,CDU-F83,Flowserve,Flowserve_VALVE_CONTROL_332
A0095,CDU-VALVE_CONTROL-007,VALVE_CONTROL,CDU,Flow_Control,High,High,Quality_Impact,CDU-R58,Sulzer,Sulzer_VALVE_CONTROL_376
A0096,CDU-VALVE_CONTROL-008,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Quality_Impact,CDU-Z27,Siemens,Siemens_VALVE_CONTROL_984
A0097,CDU-VALVE_CONTROL-009,VALVE_CONTROL,CDU,Flow_Control,High,High,Quality_Impact,CDU-M2,Siemens,Siemens_VALVE_CONTROL_313
A0098,CDU-VALVE_CONTROL-010,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Production_Impact,CDU-S17,Honeywell,Honeywell_VALVE_CONTROL_392
A0099,CDU-VALVE_CONTROL-011,VALVE_CONTROL,CDU,Flow_Control,High,High,Quality_Impact,CDU-A94,Sulzer,Sulzer_VALVE_CONTROL_700
A0100,CDU-VALVE_CONTROL-012,VALVE_CONTROL,CDU,Flow_Control,High,High,Production_Impact,CDU-P56,Honeywell,Honeywell_VALVE_CONTROL_390
A0101,CDU-VALVE_CONTROL-013,VALVE_CONTROL,CDU,Flow_Control,High,High,Production_Impact,CDU-J95,GE,GE_VALVE_CONTROL_404
A0102,CDU-VALVE_CONTROL-014,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Quality_Impact,CDU-S60,Flowserve,Flowserve_VALVE_CONTROL_899
A0103,CDU-VALVE_CONTROL-015,VALVE_CONTROL,CDU,Flow_Control,High,Medium,Production_Impact,CDU-C42,Sulzer,Sulzer_VALVE_CONTROL_868
A0104,CDU-VALVE_CONTROL-016,VALVE_CONTROL,CDU,Flow_Control,High,High,Production_Impact,CDU-Q9,Honeywell,Honeywell_VALVE_CONTROL_822
A0105,CDU-ANALYZER-001,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Maintenance_Required,CDU-U91,Grundfos,Grundfos_ANALYZER_152
A0106,CDU-ANALYZER-002,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-H51,Sulzer,Sulzer_ANALYZER_977
A0107,CDU-ANALYZER-003,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-Z65,Sulzer,Sulzer_ANALYZER_256
A0108,CDU-ANALYZER-004,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Maintenance_Required,CDU-V10,Siemens,Siemens_ANALYZER_742
A0109,CDU-ANALYZER-005,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Quality_Impact,CDU-J80,Emerson,Emerson_ANALYZER_725
A0110,CDU-ANALYZER-006,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-J10,Sulzer,Sulzer_ANALYZER_554
A0111,CDU-ANALYZER-007,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Maintenance_Required,CDU-W48,Honeywell,Honeywell_ANALYZER_970
A0112,CDU-ANALYZER-008,ANALYZER,CDU,Quality_Measurement,Medium,Low,Quality_Impact,CDU-D81,Emerson,Emerson_ANALYZER_788
A0113,CDU-ANALYZER-009,ANALYZER,CDU,Quality_Measurement,Medium,Low,Quality_Impact,CDU-S72,GE,GE_ANALYZER_273
A0114,CDU-ANALYZER-010,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-B33,Emerson,Emerson_ANALYZER_702
A0115,CDU-ANALYZER-011,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-W15,Honeywell,Honeywell_ANALYZER_867
A0116,CDU-ANALYZER-012,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-J86,KSB,KSB_ANALYZER_551
A0117,CDU-ANALYZER-013,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-T93,GE,GE_ANALYZER_445
A0118,CDU-ANALYZER-014,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Maintenance_Required,CDU-R81,Honeywell,Honeywell_ANALYZER_612
A0119,CDU-ANALYZER-015,ANALYZER,CDU,Quality_Measurement,Medium,Low,Maintenance_Required,CDU-Q46,Sulzer,Sulzer_ANALYZER_417
A0120,CDU-ANALYZER-016,ANALYZER,CDU,Quality_Measurement,Medium,Medium,Quality_Impact,CDU-H29,Flowserve,Flowserve_ANALYZER_512
A0121,CDU-ANALYZER-017,ANALYZER,CDU,Quality_Measurement,Medium,Low,Quality_Impact,CDU-M60,Honeywell,Honeywell_ANALYZER_231
A0122,FCC-PUMP-001,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-N69,Sulzer,Sulzer_PUMP_610
A0123,FCC-PUMP-002,PUMP,FCC,Fluid_Transport,High,Medium,Quality_Impact,FCC-E53,Siemens,Siemens_PUMP_602
A0124,FCC-PUMP-003,PUMP,FCC,Fluid_Transport,High,High,Quality_Impact,FCC-H17,Honeywell,Honeywell_PUMP_1004
A0125,FCC-PUMP-004,PUMP,FCC,Fluid_Transport,High,High,Quality_Impact,FCC-C62,GE,GE_PUMP_406
A0126,FCC-PUMP-005,PUMP,FCC,Fluid_Transport,High,Medium,Production_Impact,FCC-V43,Grundfos,Grundfos_PUMP_1043
A0127,FCC-PUMP-006,PUMP,FCC,Fluid_Transport,High,Medium,Quality_Impact,FCC-F43,Flowserve,Flowserve_PUMP_550
A0128,FCC-PUMP-007,PUMP,FCC,Fluid_Transport,High,Medium,Production_Impact,FCC-H39,Emerson,Emerson_PUMP_297
A0129,FCC-PUMP-008,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-C81,Sulzer,Sulzer_PUMP_995
A0130,FCC-PUMP-009,PUMP,FCC,Fluid_Transport,High,Medium,Quality_Impact,FCC-O47,Siemens,Siemens_PUMP_231
A0131,FCC-PUMP-010,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-I42,Siemens,Siemens_PUMP_117
A0132,FCC-PUMP-011,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-S70,Emerson,Emerson_PUMP_706
A0133,FCC-PUMP-012,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-R45,Siemens,Siemens_PUMP_756
A0134,FCC-PUMP-013,PUMP,FCC,Fluid_Transport,High,High,Production_Impact,FCC-T36,Emerson,Emerson_PUMP_759
A0135,FCC-PUMP-014,PUMP,FCC,Fluid_Transport,High,Medium,Production_Impact,FCC-L85,Siemens,Siemens_PUMP_174
A0136,FCC-COMPRESSOR-001,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Unit_Shutdown,FCC-D49,Grundfos,Grundfos_COMPRESSOR_804
A0137,FCC-COMPRESSOR-002,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-Y66,GE,GE_COMPRESSOR_1064
A0138,FCC-COMPRESSOR-003,COMPRESSOR,FCC,Gas_Compression,Critical,High,Unit_Shutdown,FCC-R35,KSB,KSB_COMPRESSOR_168
A0139,FCC-COMPRESSOR-004,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-H22,KSB,KSB_COMPRESSOR_876
A0140,FCC-COMPRESSOR-005,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-D21,KSB,KSB_COMPRESSOR_551
A0141,FCC-COMPRESSOR-006,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-K50,Siemens,Siemens_COMPRESSOR_103
A0142,FCC-COMPRESSOR-007,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Unit_Shutdown,FCC-F5,KSB,KSB_COMPRESSOR_222
A0143,FCC-COMPRESSOR-008,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-U12,Honeywell,Honeywell_COMPRESSOR_276
A0144,FCC-COMPRESSOR-009,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-K42,KSB,KSB_COMPRESSOR_462
A0145,FCC-COMPRESSOR-010,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Unit_Shutdown,FCC-Y25,KSB,KSB_COMPRESSOR_1052
A0146,FCC-COMPRESSOR-011,COMPRESSOR,FCC,Gas_Compression,Critical,Very_High,Production_Impact,FCC-R75,Flowserve,Flowserve_COMPRESSOR_717
A0147,FCC-HEAT_EXCHANGER-001,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Medium,Maintenance_Required,FCC-P98,KSB,KSB_HEAT_EXCHANGER_508
A0148,FCC-HEAT_EXCHANGER-002,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Maintenance_Required,FCC-S87,Grundfos,Grundfos_HEAT_EXCHANGER_771
A0149,FCC-HEAT_EXCHANGER-003,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Quality_Impact,FCC-F4,Honeywell,Honeywell_HEAT_EXCHANGER_1067
A0150,FCC-HEAT_EXCHANGER-004,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Medium,Maintenance_Required,FCC-B70,Honeywell,Honeywell_HEAT_EXCHANGER_295
A0151,FCC-HEAT_EXCHANGER-005,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Maintenance_Required,FCC-Q64,Flowserve,Flowserve_HEAT_EXCHANGER_1087
A0152,FCC-HEAT_EXCHANGER-006,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Quality_Impact,FCC-L79,Flowserve,Flowserve_HEAT_EXCHANGER_231
A0153,FCC-HEAT_EXCHANGER-007,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Medium,Quality_Impact,FCC-L17,Flowserve,Flowserve_HEAT_EXCHANGER_148
A0154,FCC-HEAT_EXCHANGER-008,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Quality_Impact,FCC-M86,Grundfos,Grundfos_HEAT_EXCHANGER_482
A0155,FCC-HEAT_EXCHANGER-009,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Quality_Impact,FCC-N12,Honeywell,Honeywell_HEAT_EXCHANGER_139
A0156,FCC-HEAT_EXCHANGER-010,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Low,Quality_Impact,FCC-M12,Emerson,Emerson_HEAT_EXCHANGER_392
A0157,FCC-HEAT_EXCHANGER-011,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Medium,Maintenance_Required,FCC-V73,Siemens,Siemens_HEAT_EXCHANGER_927
A0158,FCC-HEAT_EXCHANGER-012,HEAT_EXCHANGER,FCC,Heat_Transfer,Medium,Medium,Maintenance_Required,FCC-W58,KSB,KSB_HEAT_EXCHANGER_1016
A0159,FCC-REACTOR-001,REACTOR,FCC,Chemical_Conversion,Critical,Very_High,Production_Impact,FCC-T90,Grundfos,Grundfos_REACTOR_799
A0160,FCC-REACTOR-002,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-J17,KSB,KSB_REACTOR_255
A0161,FCC-REACTOR-003,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-T72,Honeywell,Honeywell_REACTOR_707
A0162,FCC-REACTOR-004,REACTOR,FCC,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,FCC-X91,Honeywell,Honeywell_REACTOR_877
A0163,FCC-REACTOR-005,REACTOR,FCC,Chemical_Conversion,Critical,High,Production_Impact,FCC-P7,Sulzer,Sulzer_REACTOR_818
A0164,FCC-REACTOR-006,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-K11,Sulzer,Sulzer_REACTOR_431
A0165,FCC-REACTOR-007,REACTOR,FCC,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,FCC-W40,Flowserve,Flowserve_REACTOR_903
A0166,FCC-REACTOR-008,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-G83,Honeywell,Honeywell_REACTOR_542
A0167,FCC-REACTOR-009,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-K13,Honeywell,Honeywell_REACTOR_155
A0168,FCC-REACTOR-010,REACTOR,FCC,Chemical_Conversion,Critical,High,Unit_Shutdown,FCC-U29,Emerson,Emerson_REACTOR_404
A0169,FCC-REACTOR-011,REACTOR,FCC,Chemical_Conversion,Critical,Very_High,Production_Impact,FCC-C85,Emerson,Emerson_REACTOR_311
A0170,FCC-REACTOR-012,REACTOR,FCC,Chemical_Conversion,Critical,High,Production_Impact,FCC-G43,Sulzer,Sulzer_REACTOR_993
A0171,FCC-REACTOR-013,REACTOR,FCC,Chemical_Conversion,Critical,Very_High,Unit_Shutdown,FCC-S66,Flowserve,Flowserve_REACTOR_889
A0172,FCC-COLUMN-001,COLUMN,FCC,Separation,Critical,Very_High,Unit_Shutdown,FCC-Q66,Siemens,Siemens_COLUMN_289
A0173,FCC-COLUMN-002,COLUMN,FCC,Separation,Critical,Very_High,Unit_Shutdown,FCC-P47,GE,GE_COLUMN_892
