work_order,asset_id,equipment_tag,description,priority,status,created_date,due_date,completed_date,technician,plant_unit,system,maintenance_type,cost_estimate,parts_required,downtime_hours,failure_mode
WO-2025-000017,OT1449,FCC-972C,Analyzer calibration,Low,On_Hold,2025-09-05,2025-09-24,,Tech_48,FCC,Electrical,Corrective,25550,No,41,Bearing_Failure
WO-2025-000018,OT0117,CDU-705L,Replace mechanical seal,Low,In_Progress,2025-09-03,2025-10-22,,Tech_2,CDU,Civil_Structural,Emergency,7939,No,17,Seal_Failure
WO-2025-000019,OT2224,CDU-940E,Piping integrity check,High,Cancelled,2025-09-11,2025-09-29,,Tech_31,CDU,Piping,Shutdown,28865,Yes,19,Corrosion
WO-2025-000020,OT2166,UTILITIES-754U,Analyzer calibration,High,Cancelled,2025-09-01,2025-11-19,,Tech_6,UTILITIES,Safety_Systems,Predictive,44339,Yes,35,Seal_Failure
WO-2025-000021,OT0537,UTILITIES-515Z,Piping integrity check,Low,In_Progress,2025-09-03,2025-11-18,,Tech_42,UTILITIES,Electrical,Corrective,32292,Yes,11,Wear
WO-2025-000022,OT2343,FCC-696N,Compressor overhaul,Low,On_Hold,2025-09-02,2025-10-21,,Tech_39,FCC,Electrical,Emergency,19124,No,42,Calibration_Drift
WO-2025-000023,OT1866,UTILITIES-501V,Piping integrity check,Low,Open,2025-09-08,2025-11-21,,Tech_46,UTILITIES,Rotating_Equipment,Corrective,27921,Yes,5,Seal_Failure
WO-2025-000024,OT2074,CDU-241U,Analyzer calibration,Medium,Completed,2025-09-15,2025-11-18,2025-09-19,Tech_3,CDU,Safety_Systems,Emergency,21382,Yes,11,Electrical_Fault
WO-2025-000025,OT2067,HDS-1064S,Safety valve testing,Critical,In_Progress,2025-08-30,2025-10-14,,Tech_43,HDS,Piping,Inspection,4865,No,17,Vibration
WO-2025-000026,OT2069,ALKYL-417Y,Motor bearing replacement,Medium,Open,2025-09-21,2025-10-13,,Tech_2,ALKYL,Civil_Structural,Preventive,3713,No,3,Wear
WO-2025-000027,OT1933,CDU-845Q,Motor bearing replacement,High,Cancelled,2025-08-30,2025-10-28,,Tech_23,CDU,Electrical,Corrective,38513,No,25,Corrosion
WO-2025-000028,OT0106,ALKYL-641W,Safety valve testing,Low,In_Progress,2025-09-02,2025-10-07,,Tech_12,ALKYL,Electrical,Inspection,15606,No,34,Calibration_Drift
WO-2025-000029,OT2428,CCR-430A,Analyzer calibration,Critical,On_Hold,2025-09-17,2025-11-07,,Tech_20,CCR,Rotating_Equipment,Shutdown,1130,Yes,42,Wear
WO-2025-000030,OT0069,CCR-428C,Heat exchanger cleaning,Low,In_Progress,2025-09-15,2025-10-16,,Tech_6,CCR,Static_Equipment,Emergency,18136,Yes,6,Wear
WO-2025-000031,OT1961,HDS-625O,Heat exchanger cleaning,Low,Completed,2025-08-24,2025-10-14,2025-09-20,Tech_9,HDS,Rotating_Equipment,Inspection,46720,Yes,18,Bearing_Failure
WO-2025-000032,OT2264,CDU-1063U,Heat exchanger cleaning,Low,Open,2025-08-26,2025-09-29,,Tech_42,CDU,Instrumentation,Shutdown,48116,No,19,Seal_Failure
WO-2025-000033,OT1045,FCC-867N,Valve actuator repair,Low,Cancelled,2025-09-01,2025-10-09,,Tech_28,FCC,Safety_Systems,Emergency,4979,No,24,Fatigue
WO-2025-000034,OT1367,FCC-297V,Calibrate pressure transmitter,Low,Open,2025-09-23,2025-10-04,,Tech_46,FCC,Safety_Systems,Predictive,7083,No,37,Electrical_Fault
WO-2025-000035,OT2268,HDS-684F,Control valve maintenance,Medium,In_Progress,2025-09-20,2025-10-14,,Tech_31,HDS,Piping,Predictive,4433,Yes,22,Wear
WO-2025-000036,OT1046,ALKYL-806N,Calibrate pressure transmitter,Medium,Cancelled,2025-08-30,2025-11-22,,Tech_48,ALKYL,Electrical,Predictive,35593,No,30,Fatigue
WO-2025-000037,OT0091,FCC-738U,Compressor overhaul,High,Completed,2025-08-26,2025-09-24,2025-09-17,Tech_5,FCC,Instrumentation,Shutdown,19622,No,3,Wear
WO-2025-000038,OT2405,UTILITIES-667O,Heat exchanger cleaning,Critical,In_Progress,2025-09-10,2025-11-22,,Tech_40,UTILITIES,Piping,Corrective,25477,No,15,Seal_Failure
WO-2025-000039,OT0687,HDS-819R,Motor bearing replacement,Medium,In_Progress,2025-09-07,2025-11-01,,Tech_26,HDS,Electrical,Inspection,24406,No,37,Bearing_Failure
WO-2025-000040,OT0571,TANK_FARM-229E,Safety valve testing,Medium,Open,2025-09-08,2025-11-12,,Tech_1,TANK_FARM,Static_Equipment,Preventive,49865,Yes,46,Electrical_Fault
WO-2025-000041,OT1467,CCR-474A,Heat exchanger cleaning,Medium,In_Progress,2025-09-15,2025-09-29,,Tech_36,CCR,Static_Equipment,Corrective,12525,No,4,Seal_Failure
WO-2025-000042,OT0715,FCC-223A,Electrical panel inspection,Critical,Completed,2025-09-12,2025-11-15,2025-09-18,Tech_48,FCC,Instrumentation,Corrective,48970,No,40,Corrosion
WO-2025-000043,OT2035,UTILITIES-628T,Valve actuator repair,Low,Completed,2025-08-26,2025-09-29,2025-09-22,Tech_35,UTILITIES,Piping,Inspection,15522,No,13,Corrosion
WO-2025-000044,OT2423,FCC-605X,Control valve maintenance,Critical,Completed,2025-08-29,2025-11-13,2025-09-20,Tech_20,FCC,Civil_Structural,Predictive,29810,No,23,Wear
WO-2025-000045,OT1411,ALKYL-654I,Motor bearing replacement,Low,Open,2025-09-12,2025-11-18,,Tech_17,ALKYL,Static_Equipment,Shutdown,26212,No,9,Vibration
WO-2025-000046,OT0881,UTILITIES-892H,Calibrate pressure transmitter,Critical,In_Progress,2025-09-03,2025-11-14,,Tech_4,UTILITIES,Electrical,Emergency,26723,Yes,22,Calibration_Drift
WO-2025-000047,OT2299,FCC-167C,Replace mechanical seal,High,On_Hold,2025-09-04,2025-10-09,,Tech_17,FCC,Electrical,Preventive,26811,No,36,Seal_Failure
WO-2025-000048,OT1054,HDS-771Y,Heat exchanger cleaning,Low,In_Progress,2025-08-25,2025-10-13,,Tech_41,HDS,Rotating_Equipment,Shutdown,10452,No,18,Calibration_Drift
WO-2025-000049,OT0349,TANK_FARM-273W,Motor bearing replacement,Medium,Cancelled,2025-08-27,2025-10-31,,Tech_17,TANK_FARM,Rotating_Equipment,Predictive,23587,No,35,Overheating
WO-2025-000050,OT1709,CDU-715E,Piping integrity check,High,Cancelled,2025-09-11,2025-10-13,,Tech_7,CDU,Civil_Structural,Shutdown,3059,No,4,Corrosion
WO-2025-000051,OT0827,CCR-990R,Calibrate pressure transmitter,Medium,Completed,2025-09-05,2025-10-26,2025-09-23,Tech_9,CCR,Instrumentation,Predictive,6676,No,2,Overheating
WO-2025-000052,OT0140,UTILITIES-1040V,Control valve maintenance,High,Completed,2025-09-08,2025-11-02,2025-09-21,Tech_31,UTILITIES,Civil_Structural,Predictive,27341,Yes,40,Seal_Failure
WO-2025-000053,OT2209,UTILITIES-702Q,Pump impeller inspection,High,Completed,2025-08-25,2025-11-19,2025-09-21,Tech_15,UTILITIES,Rotating_Equipment,Inspection,28570,No,12,Calibration_Drift
WO-2025-000054,OT2468,ALKYL-456D,Analyzer calibration,Critical,On_Hold,2025-08-26,2025-10-17,,Tech_48,ALKYL,Static_Equipment,Inspection,4258,Yes,29,Fatigue
WO-2025-000055,OT0699,CCR-765W,Calibrate pressure transmitter,High,On_Hold,2025-09-14,2025-09-26,,Tech_30,CCR,Static_Equipment,Shutdown,31738,Yes,44,Vibration
WO-2025-000056,OT1782,TANK_FARM-857X,Compressor overhaul,Medium,Cancelled,2025-08-31,2025-10-20,,Tech_36,TANK_FARM,Instrumentation,Predictive,27009,No,21,Wear
WO-2025-000057,OT1212,ALKYL-153I,Electrical panel inspection,Low,Open,2025-09-19,2025-11-01,,Tech_45,ALKYL,Rotating_Equipment,Inspection,31755,No,4,Electrical_Fault
WO-2025-000058,OT0685,UTILITIES-807T,Valve actuator repair,High,On_Hold,2025-09-13,2025-10-22,,Tech_36,UTILITIES,Piping,Inspection,47278,No,32,Wear
WO-2025-000059,OT2354,TANK_FARM-1053Z,Analyzer calibration,Medium,On_Hold,2025-08-28,2025-11-01,,Tech_23,TANK_FARM,Piping,Emergency,48745,No,43,Vibration
WO-2025-000060,OT0874,CDU-297W,Compressor overhaul,Medium,On_Hold,2025-09-18,2025-11-21,,Tech_20,CDU,Rotating_Equipment,Shutdown,13386,No,34,Wear
WO-2025-000061,OT0032,HDS-915X,Replace mechanical seal,Medium,On_Hold,2025-09-10,2025-09-27,,Tech_43,HDS,Safety_Systems,Shutdown,36114,Yes,46,Wear
WO-2025-000062,OT1299,TANK_FARM-301G,Electrical panel inspection,Critical,Completed,2025-09-13,2025-10-26,2025-09-20,Tech_42,TANK_FARM,Electrical,Preventive,6984,Yes,9,Calibration_Drift
WO-2025-000063,OT2412,FCC-1048W,Piping integrity check,Critical,Completed,2025-08-29,2025-11-19,2025-09-20,Tech_9,FCC,Piping,Emergency,35700,Yes,27,Electrical_Fault
WO-2025-000064,OT1605,CDU-1065O,Heat exchanger cleaning,Critical,Cancelled,2025-08-25,2025-11-05,,Tech_8,CDU,Safety_Systems,Predictive,21286,No,13,Vibration
WO-2025-000065,OT2314,UTILITIES-307T,Electrical panel inspection,High,Cancelled,2025-08-30,2025-10-06,,Tech_34,UTILITIES,Civil_Structural,Corrective,9997,No,25,Corrosion
WO-2025-000066,OT1859,TANK_FARM-823K,Valve actuator repair,Low,On_Hold,2025-09-10,2025-11-12,,Tech_29,TANK_FARM,Civil_Structural,Inspection,27691,Yes,8,Bearing_Failure
WO-2025-000067,OT1830,CDU-248T,Compressor overhaul,Low,On_Hold,2025-08-28,2025-10-31,,Tech_33,CDU,Static_Equipment,Predictive,9875,No,38,Electrical_Fault
WO-2025-000068,OT0851,CDU-360K,Control valve maintenance,Low,On_Hold,2025-08-27,2025-10-31,,Tech_6,CDU,Instrumentation,Shutdown,4276,Yes,15,Corrosion
WO-2025-000069,OT2357,TANK_FARM-377W,Valve actuator repair,Medium,Cancelled,2025-09-09,2025-10-09,,Tech_19,TANK_FARM,Static_Equipment,Inspection,4217,No,21,Bearing_Failure
WO-2025-000070,OT0675,CDU-103A,Motor bearing replacement,Medium,In_Progress,2025-09-15,2025-11-02,,Tech_11,CDU,Piping,Shutdown,34451,No,40,Vibration
WO-2025-000071,OT1706,TANK_FARM-379V,Valve actuator repair,Medium,In_Progress,2025-08-28,2025-11-19,,Tech_24,TANK_FARM,Instrumentation,Inspection,36100,No,29,Calibration_Drift
WO-2025-000072,OT0320,TANK_FARM-226E,Calibrate pressure transmitter,Critical,On_Hold,2025-08-29,2025-10-18,,Tech_22,TANK_FARM,Piping,Inspection,36788,No,37,Vibration
WO-2025-000073,OT2266,CDU-362C,Analyzer calibration,Medium,Cancelled,2025-09-07,2025-10-22,,Tech_14,CDU,Piping,Corrective,19440,No,40,Fatigue
WO-2025-000074,OT1724,ALKYL-932E,Replace mechanical seal,Critical,In_Progress,2025-08-31,2025-10-30,,Tech_25,ALKYL,Safety_Systems,Preventive,24185,No,40,Electrical_Fault
WO-2025-000075,OT1243,CCR-1025M,Safety valve testing,Medium,Cancelled,2025-08-25,2025-10-02,,Tech_41,CCR,Rotating_Equipment,Corrective,7321,Yes,36,Bearing_Failure
WO-2025-000076,OT2482,TANK_FARM-642J,Analyzer calibration,High,On_Hold,2025-09-05,2025-10-25,,Tech_20,TANK_FARM,Instrumentation,Predictive,36504,No,32,Corrosion
WO-2025-000077,OT1017,CCR-853W,Compressor overhaul,Critical,Cancelled,2025-08-25,2025-11-20,,Tech_26,CCR,Electrical,Inspection,8438,Yes,3,Seal_Failure
WO-2025-000078,OT0186,FCC-694T,Pump impeller inspection,Low,Completed,2025-09-06,2025-10-17,2025-09-21,Tech_17,FCC,Static_Equipment,Preventive,28531,No,5,Bearing_Failure
WO-2025-000079,OT1669,TANK_FARM-260H,Electrical panel inspection,Medium,In_Progress,2025-09-10,2025-10-15,,Tech_49,TANK_FARM,Civil_Structural,Emergency,29345,Yes,30,Bearing_Failure
WO-2025-000080,OT1391,FCC-471E,Safety valve testing,Critical,Cancelled,2025-08-28,2025-11-04,,Tech_19,FCC,Piping,Emergency,12628,Yes,36,Bearing_Failure
WO-2025-000081,OT0413,TANK_FARM-333Y,Safety valve testing,High,Open,2025-09-10,2025-11-12,,Tech_10,TANK_FARM,Static_Equipment,Corrective,30935,Yes,25,Fatigue
WO-2025-000082,OT1754,TANK_FARM-916F,Control valve maintenance,Critical,Completed,2025-09-14,2025-10-16,2025-09-21,Tech_45,TANK_FARM,Piping,Emergency,14204,No,43,Bearing_Failure
WO-2025-000083,OT1870,FCC-683Q,Control valve maintenance,Low,On_Hold,2025-08-25,2025-09-24,,Tech_46,FCC,Instrumentation,Predictive,11887,Yes,35,Bearing_Failure
WO-2025-000084,OT1342,CDU-510B,Analyzer calibration,High,On_Hold,2025-09-03,2025-09-26,,Tech_22,CDU,Instrumentation,Predictive,34992,No,6,Corrosion
WO-2025-000085,OT2267,CDU-656O,Piping integrity check,Low,In_Progress,2025-08-28,2025-11-08,,Tech_45,CDU,Civil_Structural,Predictive,19872,Yes,34,Vibration
WO-2025-000086,OT1908,TANK_FARM-1028R,Control valve maintenance,Low,In_Progress,2025-08-27,2025-11-19,,Tech_44,TANK_FARM,Static_Equipment,Inspection,49412,No,31,Seal_Failure
WO-2025-000087,OT0823,FCC-724R,Calibrate pressure transmitter,High,In_Progress,2025-09-13,2025-11-12,,Tech_29,FCC,Civil_Structural,Predictive,6890,Yes,7,Electrical_Fault
WO-2025-000088,OT2281,CDU-549G,Control valve maintenance,Low,In_Progress,2025-08-27,2025-10-18,,Tech_46,CDU,Instrumentation,Corrective,36095,No,47,Wear
WO-2025-000089,OT0110,TANK_FARM-897D,Heat exchanger cleaning,High,Completed,2025-09-08,2025-10-31,2025-09-16,Tech_5,TANK_FARM,Instrumentation,Shutdown,15870,No,33,Vibration
WO-2025-000090,OT2008,CCR-349R,Compressor overhaul,Medium,Completed,2025-08-26,2025-11-04,2025-09-19,Tech_45,CCR,Static_Equipment,Shutdown,35318,No,44,Wear
WO-2025-000091,OT0201,HDS-517P,Replace mechanical seal,High,In_Progress,2025-09-06,2025-11-16,,Tech_21,HDS,Civil_Structural,Predictive,5290,No,10,Corrosion
WO-2025-000092,OT1455,TANK_FARM-600W,Piping integrity check,Low,On_Hold,2025-09-17,2025-11-21,,Tech_45,TANK_FARM,Rotating_Equipment,Emergency,36126,No,18,Seal_Failure
WO-2025-000093,OT0713,HDS-434L,Valve actuator repair,Low,In_Progress,2025-08-27,2025-11-08,,Tech_46,HDS,Civil_Structural,Preventive,6894,Yes,8,Seal_Failure
WO-2025-000094,OT0127,CCR-297I,Valve actuator repair,High,In_Progress,2025-09-04,2025-10-16,,Tech_30,CCR,Safety_Systems,Emergency,5023,No,6,Calibration_Drift
WO-2025-000095,OT0397,TANK_FARM-846P,Replace mechanical seal,Low,In_Progress,2025-09-04,2025-11-02,,Tech_39,TANK_FARM,Rotating_Equipment,Preventive,44975,No,19,Bearing_Failure
WO-2025-000096,OT1116,CDU-604N,Control valve maintenance,High,Cancelled,2025-09-23,2025-10-19,,Tech_46,CDU,Piping,Predictive,46734,No,35,Overheating
WO-2025-000097,OT0066,CDU-771B,Compressor overhaul,Low,Cancelled,2025-09-15,2025-10-15,,Tech_26,CDU,Safety_Systems,Inspection,44147,No,45,Bearing_Failure
WO-2025-000098,OT1741,ALKYL-155O,Electrical panel inspection,High,In_Progress,2025-09-03,2025-09-29,,Tech_5,ALKYL,Civil_Structural,Corrective,42660,No,46,Overheating
WO-2025-000099,OT0186,UTILITIES-665J,Heat exchanger cleaning,Critical,On_Hold,2025-08-24,2025-09-26,,Tech_6,UTILITIES,Instrumentation,Corrective,12284,No,37,Vibration
WO-2025-000100,OT2070,ALKYL-1018C,Valve actuator repair,High,In_Progress,2025-09-03,2025-11-12,,Tech_12,ALKYL,Piping,Corrective,20110,No,25,Seal_Failure
WO-2025-000101,OT2122,UTILITIES-403F,Calibrate pressure transmitter,Critical,On_Hold,2025-08-26,2025-10-24,,Tech_23,UTILITIES,Civil_Structural,Emergency,34821,Yes,36,Vibration
WO-2025-000102,OT1212,CDU-632E,Valve actuator repair,High,In_Progress,2025-09-19,2025-10-06,,Tech_7,CDU,Rotating_Equipment,Inspection,40813,No,17,Electrical_Fault
WO-2025-000103,OT1634,UTILITIES-344M,Analyzer calibration,Critical,In_Progress,2025-09-23,2025-10-11,,Tech_49,UTILITIES,Safety_Systems,Inspection,9595,No,23,Vibration
WO-2025-000104,OT1883,UTILITIES-471H,Piping integrity check,High,Completed,2025-08-28,2025-11-16,2025-09-17,Tech_47,UTILITIES,Electrical,Inspection,36732,No,15,Seal_Failure
WO-2025-000105,OT0325,FCC-779V,Piping integrity check,High,Completed,2025-09-16,2025-11-07,2025-09-23,Tech_6,FCC,Instrumentation,Inspection,14344,No,22,Wear
WO-2025-000106,OT1068,ALKYL-569S,Piping integrity check,Low,On_Hold,2025-09-14,2025-11-15,,Tech_26,ALKYL,Piping,Preventive,39437,No,8,Seal_Failure
WO-2025-000107,OT1446,TANK_FARM-654H,Replace mechanical seal,Critical,Cancelled,2025-09-02,2025-10-17,,Tech_30,TANK_FARM,Safety_Systems,Inspection,8333,No,24,Overheating
WO-2025-000108,OT1262,ALKYL-382T,Compressor overhaul,Critical,In_Progress,2025-09-14,2025-10-31,,Tech_23,ALKYL,Civil_Structural,Emergency,41081,No,18,Bearing_Failure
WO-2025-000109,OT1424,TANK_FARM-1015U,Safety valve testing,High,Cancelled,2025-09-05,2025-09-27,,Tech_49,TANK_FARM,Piping,Predictive,8869,Yes,8,Seal_Failure
WO-2025-000110,OT0424,FCC-905J,Electrical panel inspection,High,In_Progress,2025-09-16,2025-10-22,,Tech_43,FCC,Civil_Structural,Inspection,45301,No,35,Fatigue
WO-2025-000111,OT0191,FCC-523B,Heat exchanger cleaning,Critical,Completed,2025-08-29,2025-10-10,2025-09-17,Tech_24,FCC,Safety_Systems,Inspection,43670,No,47,Vibration
WO-2025-000112,OT1500,FCC-672L,Piping integrity check,Low,On_Hold,2025-09-03,2025-11-12,,Tech_37,FCC,Static_Equipment,Shutdown,36419,Yes,9,Calibration_Drift
WO-2025-000113,OT0124,CDU-176A,Control valve maintenance,High,Cancelled,2025-09-08,2025-11-12,,Tech_41,CDU,Instrumentation,Corrective,16738,Yes,6,Corrosion
WO-2025-000114,OT0420,HDS-282O,Valve actuator repair,Critical,Completed,2025-09-22,2025-09-23,2025-09-19,Tech_20,HDS,Civil_Structural,Preventive,38948,No,11,Wear
WO-2025-000115,OT0397,ALKYL-1024E,Compressor overhaul,Low,Cancelled,2025-09-22,2025-10-17,,Tech_45,ALKYL,Static_Equipment,Predictive,49125,No,25,Fatigue
WO-2025-000116,OT2165,ALKYL-1086G,Electrical panel inspection,High,Completed,2025-09-18,2025-11-06,2025-09-22,Tech_30,ALKYL,Rotating_Equipment,Emergency,35981,No,12,Bearing_Failure
WO-2025-000117,OT1238,HDS-370T,Heat exchanger cleaning,Low,On_Hold,2025-09-05,2025-11-12,,Tech_45,HDS,Electrical,Preventive,21089,No,12,Wear
WO-2025-000118,OT0345,FCC-200C,Piping integrity check,Medium,On_Hold,2025-08-27,2025-11-10,,Tech_44,FCC,Civil_Structural,Inspection,6464,Yes,20,Vibration
WO-2025-000119,OT2409,CCR-118R,Valve actuator repair,High,Cancelled,2025-09-06,2025-10-12,,Tech_21,CCR,Rotating_Equipment,Shutdown,4499,Yes,5,Fatigue
WO-2025-000120,OT0596,UTILITIES-882Z,Calibrate pressure transmitter,Medium,Cancelled,2025-09-08,2025-11-17,,Tech_3,UTILITIES,Electrical,Corrective,38307,No,31,Wear
WO-2025-000121,OT0210,FCC-198H,Safety valve testing,Critical,Open,2025-09-03,2025-10-22,,Tech_29,FCC,Safety_Systems,Emergency,14695,Yes,19,Seal_Failure
WO-2025-000122,OT1578,TANK_FARM-459D,Piping integrity check,Medium,Completed,2025-09-21,2025-11-14,2025-09-22,Tech_48,TANK_FARM,Civil_Structural,Inspection,47716,No,27,Overheating
WO-2025-000123,OT0644,UTILITIES-795C,Compressor overhaul,High,In_Progress,2025-08-28,2025-10-30,,Tech_22,UTILITIES,Instrumentation,Shutdown,37299,No,21,Fatigue
WO-2025-000124,OT0789,CCR-585K,Pump impeller inspection,Medium,On_Hold,2025-09-06,2025-11-10,,Tech_47,CCR,Rotating_Equipment,Preventive,39118,No,23,Wear
WO-2025-000125,OT1899,HDS-391W,Electrical panel inspection,Medium,In_Progress,2025-08-25,2025-10-07,,Tech_44,HDS,Electrical,Shutdown,13917,No,22,Calibration_Drift
WO-2025-000126,OT1469,TANK_FARM-319Q,Safety valve testing,Medium,Cancelled,2025-09-08,2025-11-14,,Tech_42,TANK_FARM,Piping,Inspection,3206,No,8,Bearing_Failure
WO-2025-000127,OT2200,UTILITIES-623T,Safety valve testing,Critical,Cancelled,2025-09-05,2025-11-05,,Tech_9,UTILITIES,Static_Equipment,Shutdown,10544,Yes,20,Calibration_Drift
WO-2025-000128,OT0865,HDS-193D,Control valve maintenance,Critical,Open,2025-09-16,2025-11-08,,Tech_6,HDS,Piping,Shutdown,47437,Yes,42,Corrosion
WO-2025-000129,OT2215,CCR-324O,Safety valve testing,Medium,Open,2025-09-13,2025-11-05,,Tech_44,CCR,Static_Equipment,Shutdown,11596,Yes,38,Fatigue
WO-2025-000130,OT1431,HDS-844C,Calibrate pressure transmitter,Low,On_Hold,2025-09-02,2025-10-31,,Tech_3,HDS,Piping,Preventive,13570,Yes,5,Fatigue
WO-2025-000131,OT0583,CCR-149O,Analyzer calibration,Critical,In_Progress,2025-09-19,2025-10-13,,Tech_22,CCR,Instrumentation,Shutdown,45168,No,0,Seal_Failure
WO-2025-000132,OT0468,UTILITIES-663H,Calibrate pressure transmitter,Medium,In_Progress,2025-08-31,2025-09-26,,Tech_31,UTILITIES,Electrical,Predictive,41066,Yes,42,Overheating
WO-2025-000133,OT0339,ALKYL-1026R,Replace mechanical seal,High,Open,2025-09-20,2025-10-03,,Tech_11,ALKYL,Piping,Inspection,19296,Yes,24,Fatigue
WO-2025-000134,OT0984,CCR-901U,Motor bearing replacement,Critical,On_Hold,2025-09-21,2025-10-14,,Tech_33,CCR,Civil_Structural,Preventive,38364,No,44,Fatigue
WO-2025-000135,OT1263,CCR-953I,Safety valve testing,Low,Open,2025-09-06,2025-10-07,,Tech_3,CCR,Static_Equipment,Predictive,12475,No,17,Fatigue
WO-2025-000136,OT1730,TANK_FARM-627U,Compressor overhaul,Medium,Cancelled,2025-09-21,2025-10-18,,Tech_41,TANK_FARM,Instrumentation,Corrective,26795,No,18,Vibration
WO-2025-000137,OT0049,ALKYL-982K,Piping integrity check,High,On_Hold,2025-09-17,2025-11-21,,Tech_12,ALKYL,Rotating_Equipment,Corrective,50619,Yes,46,Bearing_Failure
WO-2025-000138,OT0115,FCC-963W,Analyzer calibration,Low,Open,2025-09-16,2025-10-13,,Tech_40,FCC,Instrumentation,Emergency,11260,No,31,Fatigue
WO-2025-000139,OT0393,TANK_FARM-113Y,Analyzer calibration,High,Open,2025-09-07,2025-10-18,,Tech_10,TANK_FARM,Civil_Structural,Preventive,47277,Yes,6,Bearing_Failure
WO-2025-000140,OT1636,FCC-840N,Electrical panel inspection,Critical,Cancelled,2025-09-04,2025-11-01,,Tech_38,FCC,Instrumentation,Corrective,24741,Yes,3,Electrical_Fault
WO-2025-000141,OT1156,CDU-253N,Calibrate pressure transmitter,Low,Open,2025-09-12,2025-11-11,,Tech_10,CDU,Electrical,Shutdown,11878,No,18,Wear
WO-2025-000142,OT1994,CDU-932X,Replace mechanical seal,Medium,In_Progress,2025-08-26,2025-11-03,,Tech_48,CDU,Piping,Inspection,1530,Yes,12,Overheating
WO-2025-000143,OT2329,TANK_FARM-593Q,Control valve maintenance,Low,Cancelled,2025-09-19,2025-10-16,,Tech_24,TANK_FARM,Static_Equipment,Preventive,2188,Yes,16,Wear
WO-2025-000144,OT1281,CCR-257I,Replace mechanical seal,Low,In_Progress,2025-09-16,2025-10-13,,Tech_1,CCR,Electrical,Corrective,17353,No,42,Wear
WO-2025-000145,OT0901,TANK_FARM-432B,Pump impeller inspection,Critical,Completed,2025-09-22,2025-10-31,2025-09-23,Tech_14,TANK_FARM,Piping,Shutdown,10603,No,30,Calibration_Drift
