asset_id,normal_operating_range,alarm_thresholds,performance_indicators,maintenance_strategy,run_time_hours,last_major_service,next_service_due,operating_efficiency,degradation_rate
A0011,"Flow: 656 GPM, Pressure: 101 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,55317,2025-05-13,2026-03-04,86.0,Accelerated
A0012,"Flow: 937 GPM, Pressure: 141 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,53296,2025-04-08,2026-01-21,90.7,Accelerated
A0013,"Flow: 1279 GPM, Pressure: 192 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,43366,2025-02-08,2025-12-23,93.3,Accelerated
A0014,"Flow: 1418 GPM, Pressure: 243 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,44877,2025-03-18,2025-11-26,93.6,Accelerated
A0015,"Flow: 703 GPM, Pressure: 143 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,34552,2024-11-13,2025-10-31,87.2,Moderate
A0016,"Suction: 96 PSI, Discharge: 291 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,33160,2024-09-29,2025-12-29,87.7,Moderate
A0017,"Suction: 87 PSI, Discharge: 379 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,47845,2025-02-18,2025-12-07,88.0,Accelerated
A0018,"Suction: 120 PSI, Discharge: 398 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,37492,2025-01-28,2025-12-25,91.5,Moderate
A0019,"Suction: 56 PSI, Discharge: 390 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,35330,2025-04-26,2025-10-31,90.9,Moderate
A0020,"Suction: 137 PSI, Discharge: 394 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,43227,2025-01-07,2025-10-12,93.6,Accelerated
A0021,"Suction: 69 PSI, Discharge: 494 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,38097,2024-11-08,2026-03-18,94.4,Moderate
A0022,"Suction: 91 PSI, Discharge: 339 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,21590,2025-03-03,2025-11-20,85.1,Normal
A0023,"Suction: 148 PSI, Discharge: 353 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,53107,2025-09-02,2025-09-30,90.9,Accelerated
A0024,"Suction: 123 PSI, Discharge: 463 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,45365,2025-06-30,2026-01-30,85.5,Accelerated
A0025,"Suction: 74 PSI, Discharge: 249 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,10160,2025-08-14,2025-12-03,89.2,Normal
A0026,"Suction: 97 PSI, Discharge: 310 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,48980,2025-07-15,2025-12-07,92.3,Accelerated
A0027,"Suction: 96 PSI, Discharge: 485 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,22796,2024-10-27,2026-02-07,91.0,Normal
A0028,"Suction: 104 PSI, Discharge: 252 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,14641,2024-12-19,2026-01-14,87.9,Normal
A0029,"Suction: 102 PSI, Discharge: 232 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,22857,2025-07-28,2025-09-25,94.2,Normal
A0030,"Approach Temp: 11°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,57286,2025-04-05,2025-11-07,85.8,Accelerated
A0031,"Approach Temp: 29°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,53464,2025-01-02,2026-01-28,87.6,Accelerated
A0032,"Approach Temp: 14°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,25776,2025-04-18,2025-11-04,90.6,Moderate
A0033,"Approach Temp: 18°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,24778,2024-11-15,2026-01-20,88.1,Normal
A0034,"Approach Temp: 14°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,37268,2024-12-11,2026-01-31,89.5,Moderate
A0035,"Approach Temp: 10°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,27477,2025-04-06,2025-10-13,89.2,Moderate
A0036,"Approach Temp: 13°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,32645,2024-09-27,2025-11-06,94.1,Moderate
A0037,"Approach Temp: 23°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,57995,2024-11-30,2025-12-09,89.9,Accelerated
A0038,"Approach Temp: 16°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,57580,2025-04-07,2026-02-03,90.1,Accelerated
A0039,"Approach Temp: 28°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,11142,2025-02-23,2025-12-24,90.4,Normal
A0040,"Approach Temp: 10°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,50457,2025-01-02,2025-11-24,89.0,Accelerated
A0041,"Approach Temp: 20°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,18979,2024-11-24,2026-03-08,85.8,Normal
A0042,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,10881,2024-11-22,2025-10-18,93.7,Normal
A0043,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,34759,2025-02-10,2026-03-13,90.7,Moderate
A0044,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48908,2025-04-28,2026-02-12,91.0,Accelerated
A0045,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,41901,2025-02-20,2026-02-28,93.9,Accelerated
A0046,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,49327,2025-05-12,2025-10-13,93.5,Accelerated
A0047,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,13617,2025-01-24,2025-11-29,90.3,Normal
A0048,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,52631,2025-03-14,2026-02-08,88.7,Accelerated
A0049,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,30888,2025-03-06,2025-12-05,95.0,Moderate
A0050,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,27081,2025-05-26,2026-02-09,88.2,Moderate
A0051,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48586,2025-09-06,2026-03-02,90.3,Accelerated
A0052,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44797,2024-12-06,2026-02-19,92.2,Accelerated
A0053,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,49429,2025-03-17,2026-01-16,90.3,Accelerated
A0054,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,13802,2025-07-26,2025-12-14,89.4,Normal
A0055,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28249,2025-09-04,2025-12-15,89.5,Moderate
A0056,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29679,2025-05-29,2026-03-08,91.4,Moderate
A0057,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,41729,2025-09-20,2025-12-02,91.1,Accelerated
A0058,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29947,2025-02-21,2026-01-29,88.0,Moderate
A0059,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,53382,2024-11-24,2025-12-28,85.1,Accelerated
A0060,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54001,2025-03-28,2025-12-29,90.8,Accelerated
A0061,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29339,2025-01-09,2025-12-01,94.6,Moderate
A0062,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,39598,2025-04-20,2026-01-09,92.6,Moderate
A0063,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,40064,2025-03-04,2026-01-02,90.3,Accelerated
A0064,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44836,2025-08-26,2026-02-19,92.4,Accelerated
A0065,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44308,2025-09-06,2025-11-23,87.3,Accelerated
A0066,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24642,2025-06-24,2025-10-26,90.4,Normal
A0067,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29363,2024-12-20,2025-10-31,89.5,Moderate
A0068,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,36747,2024-11-05,2026-01-18,88.8,Moderate
A0069,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,21735,2025-07-25,2025-10-09,91.7,Normal
A0070,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28929,2024-12-04,2025-12-15,94.6,Moderate
A0071,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,39541,2025-01-25,2025-12-29,88.2,Moderate
A0072,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28785,2025-04-15,2026-02-25,85.8,Moderate
A0073,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54874,2025-09-07,2026-03-03,87.4,Accelerated
A0074,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,56561,2025-07-24,2026-02-02,92.6,Accelerated
A0075,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,20693,2025-03-05,2026-01-16,87.1,Normal
A0076,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28201,2025-05-20,2025-11-10,92.2,Moderate
A0077,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,39585,2025-09-10,2025-12-09,86.1,Moderate
A0078,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,18843,2025-03-07,2025-10-13,95.0,Normal
A0079,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,44178,2024-12-13,2025-10-10,86.2,Accelerated
A0080,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,54205,2024-11-11,2026-01-29,87.4,Accelerated
A0081,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,43233,2025-08-09,2025-12-01,90.1,Accelerated
A0082,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,10550,2025-09-18,2026-01-14,93.3,Normal
A0083,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,31903,2024-12-27,2025-10-26,86.1,Moderate
A0084,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48684,2025-07-18,2025-11-19,85.6,Accelerated
A0085,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,51202,2025-02-09,2026-01-01,86.7,Accelerated
A0086,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,59067,2025-08-23,2025-12-21,88.1,Accelerated
A0087,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,47844,2025-05-02,2025-12-01,86.8,Accelerated
A0088,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,50836,2025-06-11,2025-12-22,89.3,Accelerated
A0089,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,29767,2025-05-01,2025-12-28,89.4,Moderate
A0090,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,27111,2025-08-10,2025-11-20,93.5,Moderate
A0091,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48457,2025-09-07,2026-03-20,90.0,Accelerated
A0092,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,38124,2025-04-03,2025-12-21,91.3,Moderate
A0093,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,11235,2024-12-16,2025-12-27,85.4,Normal
A0094,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,24850,2025-03-04,2025-12-15,87.9,Normal
A0095,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,45571,2024-10-01,2025-11-14,88.9,Accelerated
A0096,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,15286,2025-04-29,2025-11-21,85.5,Normal
A0097,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,33612,2025-04-25,2026-01-15,94.8,Moderate
A0098,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,37759,2025-04-10,2025-11-09,89.3,Moderate
A0099,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,51981,2025-04-10,2025-12-07,93.5,Accelerated
A0100,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,48791,2025-07-26,2025-10-08,87.4,Accelerated
A0101,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,56748,2025-01-16,2025-09-28,91.6,Accelerated
A0102,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,22046,2024-12-09,2025-12-29,86.6,Normal
A0103,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,47117,2024-12-14,2026-01-30,88.6,Accelerated
A0104,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,59281,2024-12-27,2025-09-25,85.1,Accelerated
A0105,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,36919,2024-10-14,2026-01-28,92.3,Moderate
A0106,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,59683,2025-08-15,2025-11-03,92.5,Accelerated
A0107,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,21144,2025-05-22,2026-03-05,94.2,Normal
A0108,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,34458,2024-12-26,2025-10-22,86.4,Moderate
A0109,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,28349,2025-04-14,2025-12-03,86.6,Moderate
A0110,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,17483,2025-03-15,2025-11-10,86.6,Normal
A0111,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,57294,2024-11-20,2025-12-27,93.5,Accelerated
A0112,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,52395,2024-12-11,2026-03-17,93.7,Accelerated
A0113,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,43034,2025-07-30,2026-02-26,85.3,Accelerated
A0114,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,57579,2025-02-13,2025-12-21,92.9,Accelerated
A0115,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,27689,2025-06-19,2025-12-15,95.0,Moderate
A0116,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,30997,2025-06-07,2025-12-09,94.4,Moderate
A0117,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,38365,2025-07-17,2025-09-27,86.7,Moderate
A0118,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,31821,2025-07-21,2025-11-24,86.2,Moderate
A0119,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,21032,2024-09-29,2026-03-15,87.4,Normal
A0120,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,53345,2024-12-25,2026-01-09,92.5,Accelerated
A0121,"Operating within design parameters","Process specific alarms configured","Process Variables, Equipment Health",Risk_Based,13326,2025-09-06,2025-10-16,91.2,Normal
A0122,"Flow: 1160 GPM, Pressure: 198 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,46347,2024-12-11,2025-11-05,92.8,Accelerated
A0123,"Flow: 943 GPM, Pressure: 187 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,54991,2025-06-16,2026-03-21,93.4,Accelerated
A0124,"Flow: 922 GPM, Pressure: 206 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,59548,2025-03-09,2026-03-04,85.6,Accelerated
A0125,"Flow: 909 GPM, Pressure: 213 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,16326,2025-06-25,2025-11-25,85.9,Normal
A0126,"Flow: 1077 GPM, Pressure: 196 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,43137,2025-04-20,2026-01-01,89.5,Accelerated
A0127,"Flow: 1192 GPM, Pressure: 146 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,35134,2024-12-14,2026-01-25,93.8,Moderate
A0128,"Flow: 1254 GPM, Pressure: 207 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,20277,2024-11-23,2025-12-08,92.8,Normal
A0129,"Flow: 994 GPM, Pressure: 114 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,43849,2024-09-24,2026-01-21,86.4,Accelerated
A0130,"Flow: 1113 GPM, Pressure: 102 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,26092,2025-03-24,2025-10-20,86.0,Moderate
A0131,"Flow: 1481 GPM, Pressure: 144 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,19097,2025-07-02,2026-01-07,90.0,Normal
A0132,"Flow: 962 GPM, Pressure: 120 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,16364,2025-01-11,2025-10-17,87.9,Normal
A0133,"Flow: 1462 GPM, Pressure: 146 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,17196,2024-12-01,2026-03-14,88.4,Normal
A0134,"Flow: 997 GPM, Pressure: 197 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,55469,2025-02-03,2026-03-05,87.9,Accelerated
A0135,"Flow: 709 GPM, Pressure: 250 PSI","Flow <400 GPM (Low), Vibration >3.0 mm/s (High)","Flow Rate, Discharge Pressure, Vibration, Bearing Temperature",Condition_Based,28610,2025-07-07,2026-02-03,86.2,Moderate
A0136,"Suction: 50 PSI, Discharge: 395 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,21376,2025-08-31,2026-01-05,85.3,Normal
A0137,"Suction: 98 PSI, Discharge: 419 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,24540,2025-07-31,2026-01-16,93.6,Normal
A0138,"Suction: 62 PSI, Discharge: 380 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,54334,2025-06-13,2026-01-25,92.9,Accelerated
A0139,"Suction: 56 PSI, Discharge: 477 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,18365,2025-05-20,2025-12-19,91.9,Normal
A0140,"Suction: 77 PSI, Discharge: 432 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,47247,2025-03-22,2025-12-09,93.8,Accelerated
A0141,"Suction: 107 PSI, Discharge: 474 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,36432,2025-01-13,2026-02-23,93.4,Moderate
A0142,"Suction: 50 PSI, Discharge: 485 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,18286,2025-04-07,2026-02-13,90.3,Normal
A0143,"Suction: 117 PSI, Discharge: 419 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,37233,2025-03-05,2026-02-08,86.9,Moderate
A0144,"Suction: 77 PSI, Discharge: 222 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,53925,2025-04-30,2025-11-16,87.3,Accelerated
A0145,"Suction: 131 PSI, Discharge: 376 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,40659,2025-02-21,2025-12-29,86.3,Accelerated
A0146,"Suction: 123 PSI, Discharge: 474 PSI","Discharge Pressure >450 PSI (High), Vibration >4.0 mm/s (Critical)","Compression Ratio, Vibration, Temperature, Power Consumption",Predictive,20144,2025-05-14,2025-11-15,91.4,Normal
A0147,"Approach Temp: 19°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,14883,2025-03-10,2025-12-08,90.4,Normal
A0148,"Approach Temp: 21°F, Fouling Factor: <0.002","Approach Temp >35°F (High), Pressure Drop >50 PSI (High)","Heat Transfer Coefficient, Pressure Drop, Fouling Rate",Time_Based,42917,2025-01-07,2025-11-22,94.5,Accelerated
