tag_id,plant,unit,device_type,ip_address,mac_address,protocol,vendor,model,firmware_version,last_seen,discovery_method,confidence_level,network_segment,criticality,is_managed,has_security_patches
"HYD-001","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.170.245","42:96:d2:2c:39:a8","DNP3","Schneider","TemperatureTransmitter-9719","2.6.50","2025-10-24T00:10:51.146Z","Network Scan","71","VLAN-45","Medium","true","true"
"HYD-002","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.119.145","3c:a3:09:d1:29:dd","DNP3","ABB","SafetyPLC-4526","1.3.11","2025-10-21T22:57:07.242Z","Network Scan","83","VLAN-62","High","false","false"
"HYD-003","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.115.131","36:45:dc:f5:64:ed","Ethernet/IP","Rockwell","SafetyPLC-2214","4.5.11","2025-10-21T19:53:54.079Z","Network Scan","77","VLAN-73","Medium","true","true"
"HYD-004","Gulf Coast Refinery","Hydrocracking Unit (HCU)","HMI","192.168.173.105","9b:84:a2:18:f5:b0","Modbus TCP","ABB","HMI-8984","2.3.43","2025-10-23T21:52:09.118Z","Protocol Analysis","73","VLAN-96","Medium","true","true"
"HYD-005","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.127.76","b7:10:2e:ea:98:e1","Profinet","Schneider","SafetyPLC-2977","5.2.29","2025-10-23T06:50:05.309Z","Network Scan","72","VLAN-46","Medium","true","true"
"HYD-006","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.153.25","d4:ca:cf:71:eb:ee","Profinet","ABB","DCS-9449","1.5.78","2025-10-20T22:04:18.971Z","SNMP","64","VLAN-21","High","true","true"
"HYD-007","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.53.7","6a:7d:ad:07:ea:3e","Profinet","ABB","DCS-3445","5.4.70","2025-10-18T18:10:15.322Z","Protocol Analysis","76","VLAN-82","Low","false","true"
"HYD-008","Gulf Coast Refinery","Hydrocracking Unit (HCU)","RTU","192.168.156.1","84:84:25:73:ab:ea","Ethernet/IP","Rockwell","RTU-3048","5.6.76","2025-10-24T14:33:31.858Z","Network Scan","82","VLAN-27","Low","true","true"
"HYD-009","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.150.188","bf:8a:4b:c0:d3:02","Ethernet/IP","ABB","FlowTransmitter-6099","5.2.64","2025-10-22T04:56:02.304Z","Asset Inventory","92","VLAN-58","Low","true","true"
"HYD-010","Gulf Coast Refinery","Hydrocracking Unit (HCU)","HMI","192.168.166.250","29:10:b3:bc:17:29","OPC UA","ABB","HMI-2936","4.7.79","2025-10-24T15:48:46.041Z","Protocol Analysis","97","VLAN-97","Medium","false","true"
"HYD-011","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.190.219","27:cd:28:3f:07:0a","Modbus TCP","Rockwell","DCS-6744","2.6.63","2025-10-19T09:33:57.335Z","Asset Inventory","76","VLAN-84","Critical","true","true"
"HYD-012","Gulf Coast Refinery","Hydrocracking Unit (HCU)","PLC","192.168.90.9","83:11:4e:b5:e0:58","OPC UA","Rockwell","PLC-3718","4.0.38","2025-10-19T10:37:40.407Z","Network Scan","84","VLAN-15","Low","true","true"
"HYD-013","Gulf Coast Refinery","Hydrocracking Unit (HCU)","RTU","192.168.33.43","8e:2f:97:29:fa:6c","OPC UA","Emerson","RTU-6106","2.1.53","2025-10-22T17:08:06.346Z","SNMP","96","VLAN-53","Critical","true","true"
"HYD-014","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.88.251","3f:5b:82:87:89:f1","Ethernet/IP","Emerson","TemperatureTransmitter-3422","3.3.27","2025-10-23T19:43:38.763Z","SNMP","65","VLAN-57","High","false","true"
"HYD-015","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Motor Starter","192.168.125.224","cb:7f:54:65:cd:1f","DNP3","Schneider","MotorStarter-1590","4.5.16","2025-10-19T19:32:41.621Z","Protocol Analysis","99","VLAN-50","Medium","true","true"
"HYD-016","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Pressure Transmitter","192.168.250.174","27:5c:ac:a9:e6:fa","Profinet","Rockwell","PressureTransmitter-2411","4.9.85","2025-10-19T03:10:08.434Z","Asset Inventory","70","VLAN-5","Critical","false","true"
"HYD-017","Gulf Coast Refinery","Hydrocracking Unit (HCU)","HMI","192.168.189.204","95:06:80:a6:18:85","Ethernet/IP","Honeywell","HMI-9102","5.2.35","2025-10-22T00:28:56.785Z","Asset Inventory","74","VLAN-26","Medium","true","true"
"HYD-018","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.217.46","1a:d5:e7:7b:75:28","Profinet","Siemens","DCS-5059","3.4.55","2025-10-22T05:23:32.042Z","Network Scan","98","VLAN-53","High","true","false"
"HYD-019","Gulf Coast Refinery","Hydrocracking Unit (HCU)","RTU","192.168.122.35","5a:97:4e:e4:85:96","Profinet","ABB","RTU-6072","1.3.73","2025-10-18T00:29:10.531Z","SNMP","63","VLAN-93","Low","true","true"
"HYD-020","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.37.23","ed:ce:14:fd:44:40","OPC UA","ABB","TemperatureTransmitter-9045","3.6.24","2025-10-22T11:30:34.084Z","Protocol Analysis","93","VLAN-73","Medium","true","true"
"HYD-021","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.251.122","27:18:d6:3e:5b:2e","Ethernet/IP","ABB","FlowTransmitter-3551","2.5.46","2025-10-22T18:21:45.164Z","Protocol Analysis","93","VLAN-9","Low","true","true"
"HYD-022","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.40.252","9b:7f:26:3d:d2:c3","Modbus TCP","Siemens","SafetyPLC-7024","4.7.49","2025-10-19T01:43:48.390Z","Asset Inventory","73","VLAN-99","High","true","true"
"HYD-023","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Motor Starter","192.168.127.61","bb:79:91:cd:c2:0a","Modbus TCP","Rockwell","MotorStarter-3187","2.9.62","2025-10-22T07:32:38.699Z","Protocol Analysis","72","VLAN-68","High","true","true"
"HYD-024","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.11.82","43:59:f9:9d:92:6f","OPC UA","Emerson","FlowTransmitter-8414","3.8.56","2025-10-23T23:48:50.300Z","Network Scan","93","VLAN-13","Medium","true","true"
"HYD-025","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.169.237","3a:6a:a4:2b:56:23","Profinet","Rockwell","TemperatureTransmitter-2334","5.2.17","2025-10-23T23:39:59.441Z","Asset Inventory","84","VLAN-32","High","false","true"
"HYD-026","Gulf Coast Refinery","Hydrocracking Unit (HCU)","RTU","192.168.222.156","89:82:ae:23:5d:79","Profinet","Honeywell","RTU-5498","3.5.81","2025-10-21T02:30:48.524Z","SNMP","82","VLAN-55","Medium","true","true"
"HYD-027","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.72.103","e4:af:7f:c6:8c:cf","Modbus TCP","Schneider","TemperatureTransmitter-7051","5.2.64","2025-10-19T17:14:33.112Z","SNMP","84","VLAN-83","Medium","true","true"
"HYD-028","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Motor Starter","192.168.93.49","56:b9:37:f4:4a:5b","OPC UA","Schneider","MotorStarter-9371","4.5.26","2025-10-21T19:47:41.418Z","SNMP","60","VLAN-52","High","false","true"
"HYD-029","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.254.191","b5:a0:f5:d3:71:2f","Modbus TCP","Schneider","TemperatureTransmitter-4892","1.6.13","2025-10-23T17:14:18.064Z","Protocol Analysis","70","VLAN-54","High","true","false"
"HYD-030","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.129.16","3c:c9:2b:f7:a4:d2","Ethernet/IP","Honeywell","DCS-2799","3.9.37","2025-10-20T00:48:58.836Z","SNMP","91","VLAN-13","High","true","true"
"HYD-031","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.245.114","10:58:85:ac:ec:e4","Ethernet/IP","Schneider","SafetyPLC-5451","2.4.12","2025-10-20T09:47:07.925Z","Network Scan","84","VLAN-76","High","true","true"
"HYD-032","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.140.60","97:c4:c0:54:13:5a","DNP3","Siemens","FlowTransmitter-7463","3.1.95","2025-10-21T03:28:36.098Z","SNMP","65","VLAN-11","Low","true","false"
"HYD-033","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.47.172","f7:17:aa:13:bc:64","Profinet","Rockwell","FlowTransmitter-2532","1.6.73","2025-10-22T01:01:51.403Z","Network Scan","81","VLAN-88","Medium","true","true"
"HYD-034","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Control Valve","192.168.137.233","69:e0:4c:48:f4:63","OPC UA","Emerson","ControlValve-9438","5.1.20","2025-10-23T07:17:30.879Z","Asset Inventory","86","VLAN-68","High","true","false"
"HYD-035","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Motor Starter","192.168.241.168","4d:40:31:b4:87:4e","Modbus TCP","Honeywell","MotorStarter-5385","2.8.11","2025-10-22T23:38:15.497Z","Network Scan","74","VLAN-4","Medium","false","true"
"HYD-036","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.217.202","88:c0:0d:3e:97:25","OPC UA","Siemens","TemperatureTransmitter-4557","4.7.98","2025-10-20T07:08:17.330Z","Network Scan","78","VLAN-93","Critical","false","false"
"HYD-037","Gulf Coast Refinery","Hydrocracking Unit (HCU)","DCS","192.168.93.84","90:bd:fe:6e:3a:0c","DNP3","Honeywell","DCS-4613","4.0.50","2025-10-22T03:10:34.338Z","Network Scan","99","VLAN-62","Critical","true","false"
"HYD-038","Gulf Coast Refinery","Hydrocracking Unit (HCU)","PLC","192.168.184.135","38:78:c4:25:3f:d9","Ethernet/IP","Siemens","PLC-3366","4.0.75","2025-10-24T05:23:30.582Z","Network Scan","62","VLAN-37","Critical","false","true"
"HYD-039","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Flow Transmitter","192.168.138.214","ab:b3:2f:b1:2c:5c","Ethernet/IP","Schneider","FlowTransmitter-2797","2.5.57","2025-10-18T21:03:59.020Z","Asset Inventory","79","VLAN-58","Medium","true","false"
"HYD-040","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Safety PLC","192.168.184.170","0a:64:01:d9:f6:83","Modbus TCP","Siemens","SafetyPLC-1564","3.6.60","2025-10-20T17:43:25.399Z","Asset Inventory","99","VLAN-37","High","true","false"
"HYD-041","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Pressure Transmitter","192.168.213.176","dd:ff:88:c5:52:d0","Modbus TCP","Honeywell","PressureTransmitter-2271","2.1.94","2025-10-23T03:52:40.507Z","Network Scan","65","VLAN-91","Low","true","false"
"HYD-042","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Motor Starter","192.168.24.199","7f:2f:23:53:d5:a0","DNP3","Schneider","MotorStarter-2583","1.2.81","2025-10-18T19:27:44.530Z","SNMP","67","VLAN-14","Low","false","true"
"HYD-043","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Pressure Transmitter","192.168.179.218","a7:a6:45:81:e5:7c","OPC UA","Honeywell","PressureTransmitter-4409","4.7.28","2025-10-23T02:44:19.692Z","Protocol Analysis","94","VLAN-28","Low","true","false"
"HYD-044","Gulf Coast Refinery","Hydrocracking Unit (HCU)","RTU","192.168.24.20","e0:e7:8c:dc:48:5b","Modbus TCP","Schneider","RTU-1831","2.8.84","2025-10-18T00:21:59.112Z","SNMP","93","VLAN-34","Critical","true","false"
"HYD-045","Gulf Coast Refinery","Hydrocracking Unit (HCU)","Temperature Transmitter","192.168.240.87","22:56:18:5c:c3:b3","Ethernet/IP","Emerson","TemperatureTransmitter-3361","5.5.66","2025-10-23T05:30:57.975Z","Asset Inventory","81","VLAN-16","Medium","true","true"
"REF-001","Gulf Coast Refinery","Reformer Unit","Motor Starter","192.168.55.75","fd:82:9d:d6:8c:ba","DNP3","Schneider","MotorStarter-6649","1.7.99","2025-10-21T18:47:21.863Z","SNMP","74","VLAN-93","Medium","true","true"
"REF-002","Gulf Coast Refinery","Reformer Unit","Pressure Transmitter","192.168.199.144","57:91:6d:28:c3:42","Profinet","Rockwell","PressureTransmitter-3525","1.1.82","2025-10-23T08:29:29.924Z","Protocol Analysis","64","VLAN-48","Medium","false","false"
"REF-003","Gulf Coast Refinery","Reformer Unit","PLC","192.168.170.94","6e:91:71:2b:00:38","Profinet","ABB","PLC-3372","2.7.15","2025-10-19T02:11:02.418Z","Asset Inventory","78","VLAN-52","High","false","true"
"REF-004","Gulf Coast Refinery","Reformer Unit","Safety PLC","192.168.199.75","a3:a3:41:cd:8a:52","DNP3","Schneider","SafetyPLC-4707","1.5.82","2025-10-21T04:13:44.428Z","Asset Inventory","90","VLAN-60","Medium","true","false"
"REF-005","Gulf Coast Refinery","Reformer Unit","PLC","192.168.44.19","d4:11:e7:df:68:c2","Ethernet/IP","Schneider","PLC-7533","3.3.21","2025-10-19T00:59:40.653Z","Protocol Analysis","70","VLAN-32","Low","false","false"
"REF-006","Gulf Coast Refinery","Reformer Unit","Control Valve","192.168.140.105","a5:27:0c:97:14:86","Ethernet/IP","Siemens","ControlValve-5693","1.2.56","2025-10-24T03:27:40.146Z","Asset Inventory","80","VLAN-32","Medium","true","true"
"REF-007","Gulf Coast Refinery","Reformer Unit","Temperature Transmitter","192.168.171.38","72:c9:af:32:a4:57","DNP3","Rockwell","TemperatureTransmitter-4040","1.8.42","2025-10-17T19:11:54.039Z","Protocol Analysis","75","VLAN-97","Critical","true","false"
