tag_id,plant,unit,device_type,ip_address,security_level,vulnerabilities,cve_count,last_security_scan,encryption_enabled,authentication_required,access_control,network_isolation,firewall_protected,risk_score
"API-032","Boston Pharma","API Manufacturing","MES","192.168.65.22","3","2","0","2025-10-14T13:06:29.304Z","true","true","None","true","true","69"
"API-033","Boston Pharma","API Manufacturing","Temperature Controller","192.168.247.176","2","0","2","2025-10-20T06:14:55.752Z","true","false","None","true","false","83"
"API-034","Boston Pharma","API Manufacturing","Safety PLC","192.168.148.132","1","9","3","2025-10-22T05:01:08.371Z","true","true","Enterprise","true","false","49"
"API-035","Boston Pharma","API Manufacturing","Temperature Controller","192.168.99.33","3","3","4","2025-10-02T00:54:10.813Z","true","true","None","true","true","9"
"API-036","Boston Pharma","API Manufacturing","Safety PLC","192.168.0.25","4","1","1","2025-10-03T13:33:14.007Z","true","false","None","true","true","52"
"API-037","Boston Pharma","API Manufacturing","HMI","192.168.243.239","1","1","0","2025-10-12T08:26:07.631Z","false","true","Basic","true","true","64"
"API-038","Boston Pharma","API Manufacturing","SCADA","192.168.145.216","3","6","1","2025-10-24T08:45:32.321Z","false","false","None","true","true","4"
"API-039","Boston Pharma","API Manufacturing","Temperature Controller","192.168.134.70","1","2","4","2025-10-07T21:32:34.929Z","true","true","Basic","true","false","14"
"API-040","Boston Pharma","API Manufacturing","Safety PLC","192.168.153.124","3","9","1","2025-09-30T21:52:47.631Z","true","true","Advanced","true","true","67"
"API-041","Boston Pharma","API Manufacturing","HMI","192.168.131.151","2","5","3","2025-09-27T20:24:05.088Z","false","true","Advanced","false","true","79"
"API-042","Boston Pharma","API Manufacturing","Environmental Monitor","192.168.237.79","2","4","2","2025-10-01T11:58:15.887Z","false","true","Enterprise","false","true","32"
"API-043","Boston Pharma","API Manufacturing","HMI","192.168.61.99","3","3","3","2025-10-11T04:15:41.130Z","false","false","Basic","false","true","32"
"API-044","Boston Pharma","API Manufacturing","HMI","192.168.62.61","3","9","0","2025-10-22T08:39:57.826Z","true","true","Advanced","true","true","15"
"API-045","Boston Pharma","API Manufacturing","MES","192.168.15.179","2","1","1","2025-09-27T06:00:57.059Z","false","true","Basic","true","true","17"
"API-046","Boston Pharma","API Manufacturing","Batch Controller","192.168.22.184","2","1","2","2025-09-29T18:27:12.187Z","true","true","Enterprise","true","true","75"
"API-047","Boston Pharma","API Manufacturing","HMI","192.168.193.161","2","2","0","2025-10-08T03:13:23.169Z","false","true","Basic","true","true","40"
"API-048","Boston Pharma","API Manufacturing","Batch Controller","192.168.179.111","4","4","1","2025-09-26T09:58:40.776Z","true","true","None","true","true","96"
"API-049","Boston Pharma","API Manufacturing","Temperature Controller","192.168.58.186","2","6","2","2025-09-25T19:17:19.391Z","true","true","None","false","false","56"
"API-050","Boston Pharma","API Manufacturing","PLC","192.168.129.208","4","8","2","2025-10-02T03:12:17.603Z","true","true","Basic","false","true","34"
"API-051","Boston Pharma","API Manufacturing","HMI","192.168.37.130","4","2","0","2025-10-22T21:04:05.223Z","true","true","Basic","false","true","70"
"API-052","Boston Pharma","API Manufacturing","Batch Controller","192.168.40.153","1","0","4","2025-10-02T21:22:39.577Z","false","false","Advanced","true","true","34"
"API-053","Boston Pharma","API Manufacturing","HMI","192.168.62.141","4","7","2","2025-10-10T18:29:06.624Z","true","true","Basic","false","false","88"
"API-054","Boston Pharma","API Manufacturing","SCADA","192.168.119.107","4","9","4","2025-10-01T07:04:43.528Z","true","true","Basic","false","false","17"
"API-055","Boston Pharma","API Manufacturing","Serialization System","192.168.209.244","2","2","0","2025-10-05T05:02:34.607Z","false","true","None","false","true","36"
"API-056","Boston Pharma","API Manufacturing","LIMS","192.168.49.190","3","2","0","2025-10-08T19:08:22.015Z","true","false","None","false","false","76"
"FOR-001","Boston Pharma","Formulation","Temperature Controller","192.168.1.158","1","3","4","2025-10-18T17:37:36.844Z","true","false","Advanced","true","true","44"
"FOR-002","Boston Pharma","Formulation","Serialization System","192.168.90.153","1","4","2","2025-10-11T09:03:46.098Z","false","true","None","true","true","36"
"FOR-003","Boston Pharma","Formulation","LIMS","192.168.209.66","2","5","4","2025-10-22T02:35:02.271Z","true","true","Enterprise","true","true","99"
"FOR-004","Boston Pharma","Formulation","MES","192.168.1.148","3","2","2","2025-10-12T03:48:46.980Z","false","false","Advanced","true","true","8"
"FOR-005","Boston Pharma","Formulation","Safety PLC","192.168.14.165","1","9","2","2025-10-10T00:27:02.796Z","true","false","Enterprise","true","false","30"
"FOR-006","Boston Pharma","Formulation","Safety PLC","192.168.117.113","2","9","4","2025-10-17T18:51:41.923Z","true","true","Enterprise","true","true","64"
"FOR-007","Boston Pharma","Formulation","MES","192.168.11.144","1","1","2","2025-10-09T21:48:54.301Z","true","true","Enterprise","false","true","6"
"FOR-008","Boston Pharma","Formulation","Serialization System","192.168.104.88","2","3","3","2025-10-11T03:08:42.312Z","false","true","Basic","false","false","61"
"FOR-009","Boston Pharma","Formulation","SCADA","192.168.191.128","2","2","4","2025-10-19T14:59:49.537Z","false","true","None","false","true","64"
"FOR-010","Boston Pharma","Formulation","Temperature Controller","192.168.192.83","4","4","0","2025-09-30T08:34:03.748Z","true","true","None","false","true","32"
"FOR-011","Boston Pharma","Formulation","Environmental Monitor","192.168.151.160","1","4","2","2025-10-06T23:00:42.397Z","true","false","Advanced","false","false","57"
"FOR-012","Boston Pharma","Formulation","PLC","192.168.8.146","1","3","0","2025-10-12T03:11:01.841Z","false","true","Basic","true","true","37"
"FOR-013","Boston Pharma","Formulation","Safety PLC","192.168.11.112","4","7","1","2025-10-17T21:52:44.248Z","true","true","Advanced","false","false","71"
"FOR-014","Boston Pharma","Formulation","HMI","192.168.240.213","4","6","3","2025-09-25T08:23:08.181Z","true","true","Advanced","true","true","87"
"FOR-015","Boston Pharma","Formulation","Temperature Controller","192.168.205.254","4","9","3","2025-10-01T11:04:33.637Z","false","true","Enterprise","false","true","2"
"FOR-016","Boston Pharma","Formulation","Serialization System","192.168.36.43","1","5","2","2025-09-27T11:30:24.943Z","false","true","Advanced","true","false","14"
"FOR-017","Boston Pharma","Formulation","HMI","192.168.152.199","4","7","1","2025-10-16T23:29:23.783Z","true","true","Basic","false","true","73"
"FOR-018","Boston Pharma","Formulation","Batch Controller","192.168.25.8","2","9","3","2025-09-25T18:46:48.468Z","false","true","Basic","true","true","79"
"FOR-019","Boston Pharma","Formulation","Safety PLC","192.168.49.116","2","8","0","2025-09-28T08:32:32.294Z","false","true","None","true","true","41"
"FOR-020","Boston Pharma","Formulation","Batch Controller","192.168.69.209","4","6","0","2025-10-11T12:07:44.932Z","false","true","Basic","true","true","95"
"FOR-021","Boston Pharma","Formulation","Safety PLC","192.168.114.126","4","9","3","2025-10-16T09:13:43.963Z","false","true","Enterprise","false","true","9"
"FOR-022","Boston Pharma","Formulation","Safety PLC","192.168.51.67","1","2","4","2025-10-23T19:39:34.177Z","true","true","Basic","true","true","55"
"FOR-023","Boston Pharma","Formulation","LIMS","192.168.45.78","1","0","2","2025-10-13T00:54:48.458Z","false","false","Enterprise","false","false","42"
"FOR-024","Boston Pharma","Formulation","MES","192.168.125.83","3","9","2","2025-10-16T09:12:32.900Z","true","true","None","true","true","92"
"FOR-025","Boston Pharma","Formulation","PLC","192.168.217.209","3","6","4","2025-09-26T07:18:00.001Z","true","true","None","true","true","37"
"FOR-026","Boston Pharma","Formulation","SCADA","192.168.244.130","2","8","3","2025-10-02T09:33:31.830Z","false","true","Advanced","false","true","48"
"FOR-027","Boston Pharma","Formulation","SCADA","192.168.63.54","2","0","4","2025-10-03T19:59:25.290Z","false","false","Advanced","false","true","29"
"FOR-028","Boston Pharma","Formulation","Temperature Controller","192.168.247.142","3","5","0","2025-09-25T10:21:56.379Z","false","true","Advanced","false","true","98"
"FOR-029","Boston Pharma","Formulation","PLC","192.168.121.226","2","0","0","2025-10-17T17:45:40.364Z","false","false","Basic","false","true","45"
"FOR-030","Boston Pharma","Formulation","SCADA","192.168.176.49","4","6","1","2025-09-26T23:30:37.646Z","true","true","Enterprise","true","true","21"
"FOR-031","Boston Pharma","Formulation","SCADA","192.168.217.207","4","0","0","2025-10-23T04:03:25.803Z","true","true","Enterprise","true","true","77"
"FOR-032","Boston Pharma","Formulation","Safety PLC","192.168.156.66","1","4","2","2025-09-30T23:35:53.815Z","false","true","Advanced","false","true","72"
"FOR-033","Boston Pharma","Formulation","Serialization System","192.168.185.207","2","1","3","2025-09-26T00:40:10.838Z","false","true","Basic","false","true","83"
"FOR-034","Boston Pharma","Formulation","MES","192.168.61.35","4","0","0","2025-10-12T07:34:22.546Z","false","true","Advanced","false","true","16"
"PAC-001","Boston Pharma","Packaging","Temperature Controller","192.168.52.102","4","9","1","2025-09-26T16:14:41.557Z","true","true","Enterprise","false","false","84"
"PAC-002","Boston Pharma","Packaging","MES","192.168.160.135","1","7","3","2025-09-24T19:58:32.814Z","true","true","None","false","true","76"
"PAC-003","Boston Pharma","Packaging","PLC","192.168.32.227","2","1","3","2025-10-05T17:40:49.280Z","false","true","Enterprise","true","true","100"
"PAC-004","Boston Pharma","Packaging","SCADA","192.168.47.121","4","6","3","2025-10-21T08:44:37.764Z","false","false","Basic","false","true","93"
"PAC-005","Boston Pharma","Packaging","Batch Controller","192.168.194.196","1","2","0","2025-10-07T11:27:50.393Z","false","false","Basic","false","false","78"
"PAC-006","Boston Pharma","Packaging","Batch Controller","192.168.59.192","4","6","2","2025-10-03T16:32:02.469Z","true","false","Enterprise","true","true","25"
"PAC-007","Boston Pharma","Packaging","LIMS","192.168.214.211","2","8","3","2025-10-21T02:57:03.011Z","false","true","Basic","false","true","5"
"PAC-008","Boston Pharma","Packaging","MES","192.168.20.161","3","7","4","2025-09-24T20:34:40.667Z","true","true","None","true","true","21"
"PAC-009","Boston Pharma","Packaging","LIMS","192.168.12.105","1","2","2","2025-10-13T21:45:03.322Z","true","true","Enterprise","false","true","36"
"PAC-010","Boston Pharma","Packaging","LIMS","192.168.134.103","4","6","2","2025-10-22T19:16:38.956Z","true","false","Enterprise","true","false","97"
"PAC-011","Boston Pharma","Packaging","HMI","192.168.166.237","3","8","3","2025-10-07T16:29:13.137Z","true","true","Advanced","false","true","31"
"PAC-012","Boston Pharma","Packaging","Serialization System","192.168.80.198","2","8","2","2025-10-07T06:28:35.076Z","true","false","Advanced","true","true","83"
"PAC-013","Boston Pharma","Packaging","PLC","192.168.143.188","2","9","3","2025-10-07T08:00:13.668Z","true","true","Basic","false","true","29"
"PAC-014","Boston Pharma","Packaging","Environmental Monitor","192.168.218.133","3","3","0","2025-10-05T22:17:10.446Z","true","true","Enterprise","true","true","68"
"PAC-015","Boston Pharma","Packaging","Temperature Controller","192.168.4.66","3","4","3","2025-10-14T18:11:55.075Z","false","true","Enterprise","true","true","77"
"PAC-016","Boston Pharma","Packaging","HMI","192.168.160.126","1","7","0","2025-10-11T18:57:24.258Z","true","false","Basic","true","true","85"
"PAC-017","Boston Pharma","Packaging","Temperature Controller","192.168.109.52","3","7","2","2025-09-28T23:34:53.847Z","false","true","Advanced","true","true","63"
"PAC-018","Boston Pharma","Packaging","Serialization System","192.168.219.189","4","8","4","2025-10-06T00:59:42.574Z","true","false","Advanced","false","false","74"
"PAC-019","Boston Pharma","Packaging","HMI","192.168.189.230","3","5","2","2025-09-28T23:46:59.425Z","false","false","Basic","true","true","8"
"PAC-020","Boston Pharma","Packaging","Temperature Controller","192.168.181.114","4","0","0","2025-10-24T10:06:57.382Z","true","true","Enterprise","false","true","97"
"PAC-021","Boston Pharma","Packaging","Serialization System","192.168.123.159","3","1","4","2025-09-27T17:07:41.935Z","false","true","Enterprise","false","true","87"
"PAC-022","Boston Pharma","Packaging","Safety PLC","192.168.252.167","1","4","1","2025-10-18T15:55:59.390Z","false","true","None","false","true","61"
"PAC-023","Boston Pharma","Packaging","PLC","192.168.10.47","4","4","2","2025-10-23T14:44:28.080Z","false","false","Enterprise","true","true","53"
"PAC-024","Boston Pharma","Packaging","Serialization System","192.168.136.168","3","1","3","2025-10-11T22:01:21.965Z","false","true","Basic","true","false","30"
"PAC-025","Boston Pharma","Packaging","HMI","192.168.190.246","1","3","3","2025-10-02T14:06:24.987Z","true","false","Enterprise","false","false","53"
"PAC-026","Boston Pharma","Packaging","Serialization System","192.168.25.13","3","1","3","2025-09-30T16:28:52.719Z","true","true","Basic","true","true","28"
"PAC-027","Boston Pharma","Packaging","Environmental Monitor","192.168.147.109","2","7","3","2025-10-16T17:35:14.701Z","false","true","Enterprise","false","true","71"
"PAC-028","Boston Pharma","Packaging","Temperature Controller","192.168.46.80","2","4","3","2025-10-22T05:28:38.214Z","false","true","Basic","false","false","42"
"PAC-029","Boston Pharma","Packaging","Environmental Monitor","192.168.69.57","4","5","3","2025-10-05T19:38:50.329Z","true","true","None","false","true","92"
"PAC-030","Boston Pharma","Packaging","SCADA","192.168.89.251","3","6","2","2025-10-13T16:26:37.849Z","false","true","None","false","true","62"
"PAC-031","Boston Pharma","Packaging","Batch Controller","192.168.55.17","1","8","0","2025-10-06T21:38:09.007Z","true","true","Enterprise","true","true","32"
"PAC-032","Boston Pharma","Packaging","MES","192.168.232.80","2","2","3","2025-10-15T01:35:20.994Z","true","false","Advanced","true","true","39"
"PAC-033","Boston Pharma","Packaging","MES","192.168.44.188","1","2","1","2025-10-03T06:54:19.232Z","true","true","Basic","true","true","62"
"PAC-034","Boston Pharma","Packaging","HMI","192.168.158.116","3","7","4","2025-10-05T16:23:29.065Z","true","true","Enterprise","true","false","99"
"PAC-035","Boston Pharma","Packaging","LIMS","192.168.54.112","1","5","1","2025-10-22T08:18:39.607Z","false","true","Enterprise","false","true","97"
"PAC-036","Boston Pharma","Packaging","HMI","192.168.74.14","1","8","3","2025-09-26T20:01:13.627Z","false","true","Basic","true","true","40"
"PAC-037","Boston Pharma","Packaging","HMI","192.168.37.24","4","5","4","2025-10-06T16:22:37.320Z","false","true","Enterprise","false","true","12"
"PAC-038","Boston Pharma","Packaging","Batch Controller","192.168.111.152","4","7","4","2025-10-04T02:07:32.453Z","true","true","None","false","false","21"
"PAC-039","Boston Pharma","Packaging","Batch Controller","192.168.134.213","1","5","4","2025-10-08T11:11:11.236Z","false","true","Basic","true","true","67"
"QUA-001","Boston Pharma","Quality Control Lab","LIMS","192.168.181.6","4","9","0","2025-09-28T15:34:55.391Z","true","false","Advanced","true","true","20"
"QUA-002","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.35.85","1","2","0","2025-10-23T06:33:40.237Z","false","true","Advanced","true","true","10"
"QUA-003","Boston Pharma","Quality Control Lab","PLC","192.168.229.57","4","3","1","2025-09-30T03:11:35.609Z","true","true","Enterprise","true","true","84"
"QUA-004","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.59.17","2","9","0","2025-10-18T00:23:33.290Z","true","false","Enterprise","false","false","33"
"QUA-005","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.107.194","3","6","0","2025-10-22T08:00:27.032Z","true","false","Basic","true","true","59"
"QUA-006","Boston Pharma","Quality Control Lab","Serialization System","192.168.84.44","3","0","0","2025-10-10T12:37:49.669Z","true","true","None","false","true","54"
"QUA-007","Boston Pharma","Quality Control Lab","Safety PLC","192.168.249.199","3","1","3","2025-10-07T13:40:04.694Z","true","false","None","false","false","5"
"QUA-008","Boston Pharma","Quality Control Lab","Batch Controller","192.168.54.168","2","8","0","2025-10-03T09:45:46.281Z","false","true","Advanced","true","false","21"
"QUA-009","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.179.102","4","1","0","2025-09-27T03:32:55.087Z","true","false","Enterprise","true","false","92"
"QUA-010","Boston Pharma","Quality Control Lab","SCADA","192.168.122.228","1","5","1","2025-10-17T15:28:41.233Z","true","true","Advanced","true","false","2"
"QUA-011","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.62.52","4","0","1","2025-10-05T20:10:15.062Z","true","true","Advanced","false","true","48"
"QUA-012","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.84.85","3","2","4","2025-10-17T13:21:01.801Z","true","true","None","true","true","71"
"QUA-013","Boston Pharma","Quality Control Lab","HMI","192.168.219.91","1","7","0","2025-10-21T23:36:10.941Z","true","true","None","true","false","95"
"QUA-014","Boston Pharma","Quality Control Lab","Safety PLC","192.168.224.121","3","3","1","2025-10-19T16:44:28.632Z","true","true","None","true","true","42"
"QUA-015","Boston Pharma","Quality Control Lab","PLC","192.168.132.73","1","8","0","2025-10-09T02:14:38.510Z","true","true","Advanced","true","true","89"
"QUA-016","Boston Pharma","Quality Control Lab","LIMS","192.168.181.116","4","0","2","2025-10-16T15:01:26.517Z","true","true","Enterprise","true","false","66"
"QUA-017","Boston Pharma","Quality Control Lab","HMI","192.168.175.59","3","8","1","2025-10-19T06:13:14.596Z","false","true","Advanced","true","false","64"
"QUA-018","Boston Pharma","Quality Control Lab","HMI","192.168.70.192","2","4","2","2025-10-15T09:16:48.044Z","true","true","Basic","false","true","17"
"QUA-019","Boston Pharma","Quality Control Lab","MES","192.168.181.10","4","0","2","2025-10-16T10:16:40.457Z","false","true","None","true","true","59"
"QUA-020","Boston Pharma","Quality Control Lab","SCADA","192.168.5.9","4","1","3","2025-10-19T20:35:11.328Z","true","true","Enterprise","true","true","36"
"QUA-021","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.229.229","1","8","3","2025-09-28T14:46:20.838Z","true","true","Basic","true","true","10"
"QUA-022","Boston Pharma","Quality Control Lab","Safety PLC","192.168.142.247","2","2","1","2025-10-01T13:26:38.896Z","false","true","None","true","true","76"
"QUA-023","Boston Pharma","Quality Control Lab","HMI","192.168.244.147","3","2","1","2025-09-27T23:04:18.780Z","true","true","Basic","false","true","90"
"QUA-024","Boston Pharma","Quality Control Lab","Serialization System","192.168.100.105","1","5","2","2025-10-09T08:10:32.184Z","false","true","Basic","false","true","39"
"QUA-025","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.173.183","4","4","0","2025-10-07T17:21:26.161Z","true","true","Advanced","false","false","43"
"QUA-026","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.236.149","3","0","2","2025-09-28T10:09:24.912Z","true","true","Basic","true","true","86"
"QUA-027","Boston Pharma","Quality Control Lab","HMI","192.168.183.208","4","1","4","2025-10-17T23:12:59.575Z","true","true","Advanced","true","true","56"
"QUA-028","Boston Pharma","Quality Control Lab","MES","192.168.119.4","4","7","1","2025-10-19T20:58:47.758Z","false","true","None","false","false","36"
"QUA-029","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.121.168","1","1","1","2025-09-28T09:39:36.336Z","true","true","Basic","true","false","22"
"QUA-030","Boston Pharma","Quality Control Lab","PLC","192.168.56.24","3","9","0","2025-10-08T10:11:44.443Z","true","false","Advanced","false","true","7"
"QUA-031","Boston Pharma","Quality Control Lab","Environmental Monitor","192.168.198.56","3","8","3","2025-10-13T08:31:39.472Z","true","false","None","false","true","71"
"QUA-032","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.171.252","1","7","1","2025-10-04T06:39:16.447Z","true","true","Enterprise","true","true","65"
"QUA-033","Boston Pharma","Quality Control Lab","Serialization System","192.168.120.214","2","5","3","2025-10-15T14:28:17.426Z","true","true","None","true","false","80"
"QUA-034","Boston Pharma","Quality Control Lab","SCADA","192.168.219.113","2","9","3","2025-10-10T12:36:34.085Z","true","true","Advanced","false","true","99"
"QUA-035","Boston Pharma","Quality Control Lab","SCADA","192.168.133.119","2","0","2","2025-09-28T01:32:56.907Z","true","false","Advanced","true","true","97"
"QUA-036","Boston Pharma","Quality Control Lab","LIMS","192.168.157.30","3","3","0","2025-10-04T07:41:16.061Z","true","true","Enterprise","false","true","88"
"QUA-037","Boston Pharma","Quality Control Lab","MES","192.168.139.197","4","3","2","2025-10-03T23:55:19.462Z","false","true","Basic","false","true","69"
"QUA-038","Boston Pharma","Quality Control Lab","HMI","192.168.80.241","3","3","2","2025-10-23T13:52:46.352Z","true","true","None","true","true","77"
"QUA-039","Boston Pharma","Quality Control Lab","PLC","192.168.133.252","2","1","0","2025-09-28T01:53:05.846Z","true","true","Basic","false","true","83"
"QUA-040","Boston Pharma","Quality Control Lab","HMI","192.168.119.52","1","2","4","2025-10-19T09:48:49.359Z","true","true","Enterprise","true","true","27"
"QUA-041","Boston Pharma","Quality Control Lab","Safety PLC","192.168.85.101","2","3","1","2025-10-10T02:00:03.989Z","false","false","None","false","false","84"
"QUA-042","Boston Pharma","Quality Control Lab","Batch Controller","192.168.8.42","3","6","2","2025-10-16T23:27:39.718Z","true","true","Enterprise","true","true","31"
"QUA-043","Boston Pharma","Quality Control Lab","LIMS","192.168.48.106","2","4","4","2025-10-04T11:27:55.994Z","true","false","Advanced","false","true","50"
"QUA-044","Boston Pharma","Quality Control Lab","PLC","192.168.185.129","4","1","1","2025-10-17T23:50:50.221Z","false","true","Basic","false","true","36"
"QUA-045","Boston Pharma","Quality Control Lab","Temperature Controller","192.168.200.123","4","9","2","2025-10-03T09:52:26.494Z","true","true","Enterprise","true","false","85"
"QUA-046","Boston Pharma","Quality Control Lab","Safety PLC","192.168.245.145","4","1","0","2025-10-15T15:16:11.022Z","true","true","None","true","false","41"
"UTI-001","Boston Pharma","Utilities","LIMS","192.168.185.163","1","5","3","2025-10-14T04:56:36.482Z","true","false","Advanced","true","false","77"
"UTI-002","Boston Pharma","Utilities","Serialization System","192.168.160.92","2","0","4","2025-10-09T07:05:15.781Z","true","true","Enterprise","true","false","90"
"UTI-003","Boston Pharma","Utilities","LIMS","192.168.101.201","3","1","2","2025-10-13T21:19:45.160Z","false","false","None","false","true","3"
"UTI-004","Boston Pharma","Utilities","PLC","192.168.195.80","3","0","0","2025-09-29T04:12:02.004Z","true","false","None","false","true","80"
"UTI-005","Boston Pharma","Utilities","MES","192.168.21.158","4","2","4","2025-10-09T20:08:43.664Z","true","false","None","true","true","59"
"UTI-006","Boston Pharma","Utilities","HMI","192.168.182.74","4","5","2","2025-10-11T21:45:17.459Z","false","true","Basic","false","true","23"
"UTI-007","Boston Pharma","Utilities","Temperature Controller","192.168.36.180","2","3","3","2025-10-09T16:33:06.709Z","true","false","Basic","true","false","95"
"UTI-008","Boston Pharma","Utilities","Safety PLC","192.168.231.106","4","1","2","2025-10-06T23:45:46.247Z","true","true","None","false","true","98"
"UTI-009","Boston Pharma","Utilities","Batch Controller","192.168.13.47","2","0","1","2025-09-29T22:48:51.332Z","true","true","Basic","false","true","42"
"UTI-010","Boston Pharma","Utilities","Environmental Monitor","192.168.131.20","3","9","3","2025-10-08T00:48:58.154Z","true","false","Basic","false","true","50"
"UTI-011","Boston Pharma","Utilities","Safety PLC","192.168.252.32","2","4","4","2025-10-06T06:34:24.674Z","true","true","Advanced","true","true","53"
"UTI-012","Boston Pharma","Utilities","Safety PLC","192.168.70.238","1","0","1","2025-10-04T15:56:45.092Z","true","true","Basic","false","true","41"
"UTI-013","Boston Pharma","Utilities","Serialization System","192.168.76.16","3","2","1","2025-10-02T07:43:28.655Z","true","true","None","false","true","75"
