asset_id,plant,unit,instrument_type,oem,model,last_patch_date,maintenance_status,next_maintenance,criticality,nerc_cip,ferc_regulated
"GEN-042","Pacific Power","Generation Unit","EMS","Honeywell","EMS-2178","2024-11-17","Overdue","2026-01-20","Critical","true","true"
"GEN-043","Pacific Power","Generation Unit","Grid Controller","Schneider","GridController-3816","2025-06-22","Current","2025-11-25","Critical","true","true"
"GEN-044","Pacific Power","Generation Unit","SCADA","Honeywell","SCADA-6292","2025-05-21","Current","2025-11-27","Critical","true","true"
"GEN-045","Pacific Power","Generation Unit","RTU","Honeywell","RTU-5166","2024-12-07","Current","2025-11-19","Critical","true","true"
"TRA-001","Pacific Power","Transmission","Arc Flash Monitor","GE","ArcFlashMonitor-6135","2025-08-09","Current","2025-11-14","Critical","true","true"
"TRA-002","Pacific Power","Transmission","HMI","Schneider","HMI-6186","2025-05-10","Overdue","2026-01-21","Critical","true","true"
"TRA-004","Pacific Power","Transmission","Environmental Monitor","ABB","EnvironmentalMonitor-7692","2025-05-14","Current","2025-11-04","Critical","true","true"
"TRA-005","Pacific Power","Transmission","IED","Siemens","IED-9912","2025-03-19","Current","2025-12-08","Critical","true","true"
"TRA-006","Pacific Power","Transmission","Arc Flash Monitor","ABB","ArcFlashMonitor-9254","2025-05-05","Current","2025-11-06","Critical","true","true"
"TRA-007","Pacific Power","Transmission","EMS","Honeywell","EMS-9429","2024-12-01","Overdue","2025-12-28","Critical","true","true"
"TRA-008","Pacific Power","Transmission","Arc Flash Monitor","ABB","ArcFlashMonitor-7863","2025-08-15","Overdue","2026-01-20","Critical","true","true"
"TRA-010","Pacific Power","Transmission","Grid Controller","GE","GridController-7886","2025-08-23","Overdue","2026-01-22","Critical","true","true"
"TRA-011","Pacific Power","Transmission","Grid Controller","Schneider","GridController-5342","2024-12-21","Overdue","2025-12-21","Critical","true","true"
"TRA-012","Pacific Power","Transmission","Environmental Monitor","Schneider","EnvironmentalMonitor-8024","2025-04-10","Current","2025-11-15","Critical","true","true"
"TRA-013","Pacific Power","Transmission","DMS","Honeywell","DMS-3335","2025-07-09","Current","2025-10-26","Critical","true","true"
"TRA-014","Pacific Power","Transmission","RTU","Siemens","RTU-1463","2025-04-23","Current","2025-12-05","Critical","true","true"
"TRA-015","Pacific Power","Transmission","EMS","GE","EMS-3693","2025-03-24","Overdue","2026-01-08","Critical","true","true"
"TRA-016","Pacific Power","Transmission","Environmental Monitor","Siemens","EnvironmentalMonitor-1580","2025-08-01","Current","2025-11-17","Critical","true","true"
"TRA-018","Pacific Power","Transmission","Environmental Monitor","Honeywell","EnvironmentalMonitor-5852","2024-11-16","Current","2025-11-07","Critical","true","true"
"TRA-019","Pacific Power","Transmission","Environmental Monitor","ABB","EnvironmentalMonitor-2942","2025-01-09","Overdue","2025-12-02","Critical","true","true"
"TRA-020","Pacific Power","Transmission","Arc Flash Monitor","Schneider","ArcFlashMonitor-2690","2025-05-07","Current","2025-11-08","Critical","true","true"
"TRA-021","Pacific Power","Transmission","EMS","GE","EMS-9270","2024-12-12","Current","2026-01-08","Critical","true","true"
"TRA-022","Pacific Power","Transmission","IED","Schneider","IED-4086","2024-10-25","Current","2025-11-26","Critical","true","true"
"TRA-023","Pacific Power","Transmission","Protection Relay","Schneider","ProtectionRelay-6214","2024-12-27","Current","2025-12-31","Critical","true","true"
"TRA-024","Pacific Power","Transmission","HMI","GE","HMI-6151","2025-05-02","Overdue","2026-01-01","Critical","true","true"
"TRA-025","Pacific Power","Transmission","Environmental Monitor","Schneider","EnvironmentalMonitor-8367","2024-10-26","Current","2025-11-17","Critical","true","true"
"TRA-026","Pacific Power","Transmission","Grid Controller","Schneider","GridController-3171","2025-03-15","Overdue","2025-12-10","Critical","true","true"
"TRA-027","Pacific Power","Transmission","EMS","GE","EMS-8623","2025-03-10","Overdue","2025-12-17","Critical","true","true"
"TRA-028","Pacific Power","Transmission","DMS","Honeywell","DMS-9054","2024-11-27","Current","2025-12-26","Critical","true","true"
"TRA-029","Pacific Power","Transmission","SCADA","Schneider","SCADA-7696","2025-07-28","Current","2025-11-21","Critical","true","true"
"TRA-030","Pacific Power","Transmission","DMS","Schneider","DMS-8781","2025-06-24","Current","2025-12-11","Critical","true","true"
"TRA-031","Pacific Power","Transmission","Grid Controller","GE","GridController-4594","2025-07-01","Current","2025-12-10","Critical","true","true"
"DIS-002","Pacific Power","Distribution","RTU","Siemens","RTU-4359","2025-04-11","Current","2025-11-26","High","true","true"
"DIS-003","Pacific Power","Distribution","Arc Flash Monitor","ABB","ArcFlashMonitor-3535","2025-10-12","Current","2025-11-23","High","true","true"
"DIS-004","Pacific Power","Distribution","Arc Flash Monitor","GE","ArcFlashMonitor-4236","2025-06-05","Current","2025-11-29","High","true","true"
"DIS-005","Pacific Power","Distribution","EMS","Honeywell","EMS-5430","2025-07-07","Current","2025-11-16","High","true","true"
"DIS-006","Pacific Power","Distribution","RTU","ABB","RTU-5434","2025-09-10","Overdue","2026-01-09","High","true","true"
"DIS-007","Pacific Power","Distribution","Environmental Monitor","Honeywell","EnvironmentalMonitor-5324","2025-09-22","Overdue","2025-11-26","High","true","true"
"DIS-008","Pacific Power","Distribution","Grid Controller","ABB","GridController-8229","2024-12-29","Overdue","2026-01-18","High","true","true"
"DIS-010","Pacific Power","Distribution","Grid Controller","Honeywell","GridController-3436","2025-01-31","Current","2025-11-06","High","true","true"
"DIS-012","Pacific Power","Distribution","Environmental Monitor","Schneider","EnvironmentalMonitor-6507","2025-03-23","Current","2025-12-07","High","true","true"
"DIS-013","Pacific Power","Distribution","DMS","Schneider","DMS-5815","2024-10-25","Current","2025-11-17","High","true","true"
"DIS-014","Pacific Power","Distribution","EMS","Siemens","EMS-6562","2025-02-21","Current","2025-12-04","High","true","true"
"DIS-015","Pacific Power","Distribution","IED","GE","IED-9157","2025-03-05","Current","2025-12-28","High","true","true"
"DIS-016","Pacific Power","Distribution","IED","Honeywell","IED-6189","2024-12-28","Current","2025-12-10","High","true","true"
"DIS-018","Pacific Power","Distribution","EMS","Schneider","EMS-3916","2025-03-10","Overdue","2025-11-11","High","true","true"
"DIS-019","Pacific Power","Distribution","Grid Controller","GE","GridController-2086","2025-03-24","Current","2025-11-12","High","true","true"
"DIS-020","Pacific Power","Distribution","SCADA","Honeywell","SCADA-2734","2024-11-06","Current","2026-01-05","High","true","true"
"DIS-021","Pacific Power","Distribution","Protection Relay","Schneider","ProtectionRelay-9101","2024-11-12","Current","2025-12-23","High","true","true"
"DIS-022","Pacific Power","Distribution","Arc Flash Monitor","Schneider","ArcFlashMonitor-2788","2025-08-09","Current","2025-12-12","High","true","true"
"DIS-023","Pacific Power","Distribution","Grid Controller","Schneider","GridController-2236","2025-08-01","Overdue","2026-01-01","High","true","true"
"DIS-024","Pacific Power","Distribution","SCADA","Siemens","SCADA-8014","2024-11-09","Current","2025-12-07","High","true","true"
"DIS-026","Pacific Power","Distribution","DMS","ABB","DMS-1041","2025-09-22","Current","2026-01-07","High","true","true"
"DIS-027","Pacific Power","Distribution","Arc Flash Monitor","Siemens","ArcFlashMonitor-6489","2025-05-10","Overdue","2025-12-15","High","true","true"
"DIS-028","Pacific Power","Distribution","Environmental Monitor","Honeywell","EnvironmentalMonitor-4260","2025-05-09","Current","2025-12-03","High","true","true"
"DIS-030","Pacific Power","Distribution","IED","Siemens","IED-4091","2025-09-21","Overdue","2026-01-07","High","true","true"
"DIS-031","Pacific Power","Distribution","Protection Relay","GE","ProtectionRelay-2868","2025-10-02","Current","2026-01-17","High","true","true"
"DIS-032","Pacific Power","Distribution","EMS","ABB","EMS-8203","2024-11-12","Current","2026-01-02","High","true","true"
"DIS-033","Pacific Power","Distribution","SCADA","GE","SCADA-7577","2025-08-10","Current","2025-12-09","High","true","true"
"DIS-034","Pacific Power","Distribution","Grid Controller","Honeywell","GridController-5618","2025-07-02","Overdue","2026-01-16","High","true","true"
"DIS-035","Pacific Power","Distribution","IED","GE","IED-6007","2025-05-10","Current","2025-12-26","High","true","true"
"DIS-036","Pacific Power","Distribution","EMS","Honeywell","EMS-8698","2025-06-29","Overdue","2025-10-26","High","true","true"
"DIS-037","Pacific Power","Distribution","Arc Flash Monitor","GE","ArcFlashMonitor-2007","2025-07-07","Current","2025-12-11","High","true","true"
"DIS-038","Pacific Power","Distribution","SCADA","Siemens","SCADA-1159","2024-12-31","Overdue","2025-11-19","High","true","true"
"DIS-040","Pacific Power","Distribution","DMS","Honeywell","DMS-2757","2025-05-02","Overdue","2025-11-18","High","true","true"
"DIS-041","Pacific Power","Distribution","IED","Honeywell","IED-1796","2025-08-30","Current","2025-11-10","High","true","true"
"DIS-042","Pacific Power","Distribution","DMS","Siemens","DMS-4905","2024-11-18","Current","2025-11-05","High","true","true"
"DIS-043","Pacific Power","Distribution","Protection Relay","Siemens","ProtectionRelay-8809","2025-02-28","Current","2025-11-30","High","true","true"
"DIS-044","Pacific Power","Distribution","DMS","Schneider","DMS-2550","2025-08-19","Current","2025-11-14","High","true","true"
"DIS-045","Pacific Power","Distribution","SCADA","Schneider","SCADA-5793","2025-06-15","Overdue","2026-01-10","High","true","true"
"DIS-046","Pacific Power","Distribution","HMI","Siemens","HMI-2590","2025-09-15","Current","2025-11-16","High","true","true"
"DIS-047","Pacific Power","Distribution","SCADA","Honeywell","SCADA-4227","2025-06-04","Current","2026-01-18","High","true","true"
"DIS-049","Pacific Power","Distribution","IED","ABB","IED-9044","2025-04-24","Current","2025-11-06","High","true","true"
"DIS-050","Pacific Power","Distribution","Grid Controller","Honeywell","GridController-7078","2025-09-13","Overdue","2025-11-24","High","true","true"
"DIS-051","Pacific Power","Distribution","IED","Schneider","IED-1811","2025-03-21","Overdue","2025-11-05","High","true","true"
"DIS-052","Pacific Power","Distribution","Arc Flash Monitor","Siemens","ArcFlashMonitor-2638","2025-02-26","Current","2025-12-24","High","true","true"
"DIS-053","Pacific Power","Distribution","EMS","ABB","EMS-1230","2025-01-31","Current","2025-11-12","High","true","true"
"DIS-054","Pacific Power","Distribution","RTU","Honeywell","RTU-3491","2025-09-11","Current","2025-11-25","High","true","true"
"DIS-056","Pacific Power","Distribution","EMS","GE","EMS-5701","2025-01-10","Overdue","2025-11-01","High","true","true"
"DIS-059","Pacific Power","Distribution","EMS","Schneider","EMS-5567","2025-09-08","Overdue","2025-12-17","High","true","true"
"DIS-060","Pacific Power","Distribution","Arc Flash Monitor","Siemens","ArcFlashMonitor-7077","2025-07-17","Overdue","2025-11-06","High","true","true"
"DIS-061","Pacific Power","Distribution","Protection Relay","Schneider","ProtectionRelay-1269","2025-06-04","Current","2025-12-16","High","true","true"
"DIS-062","Pacific Power","Distribution","HMI","GE","HMI-1031","2025-01-27","Overdue","2025-11-17","High","true","true"
"DIS-063","Pacific Power","Distribution","SCADA","Honeywell","SCADA-6604","2025-03-31","Overdue","2025-11-26","High","true","true"
"DIS-064","Pacific Power","Distribution","RTU","GE","RTU-6901","2025-03-28","Overdue","2025-12-21","High","true","true"
"DIS-065","Pacific Power","Distribution","Protection Relay","Schneider","ProtectionRelay-8210","2025-01-03","Current","2025-12-21","High","true","true"
"DIS-066","Pacific Power","Distribution","Grid Controller","ABB","GridController-2089","2025-02-17","Overdue","2025-12-13","High","true","true"
"CON-001","Pacific Power","Control Center","HMI","ABB","HMI-2349","2025-04-04","Current","2026-01-11","Critical","true","true"
"CON-002","Pacific Power","Control Center","EMS","ABB","EMS-5482","2025-02-09","Current","2026-01-10","Critical","true","true"
"CON-003","Pacific Power","Control Center","Grid Controller","ABB","GridController-2202","2025-04-05","Current","2025-12-31","Critical","true","true"
"CON-004","Pacific Power","Control Center","IED","GE","IED-5209","2025-04-28","Current","2025-11-10","Critical","true","true"
"CON-005","Pacific Power","Control Center","RTU","Siemens","RTU-5784","2025-06-16","Overdue","2025-12-17","Critical","true","true"
"CON-006","Pacific Power","Control Center","IED","GE","IED-8929","2025-10-13","Current","2025-12-13","Critical","true","true"
"CON-007","Pacific Power","Control Center","Grid Controller","ABB","GridController-5731","2025-09-02","Current","2025-11-28","Critical","true","true"
"CON-009","Pacific Power","Control Center","RTU","Schneider","RTU-7764","2025-05-06","Overdue","2025-12-19","Critical","true","true"
"CON-010","Pacific Power","Control Center","IED","Schneider","IED-8903","2025-08-18","Current","2025-12-04","Critical","true","true"
"CON-011","Pacific Power","Control Center","HMI","Honeywell","HMI-2741","2025-10-05","Current","2025-11-16","Critical","true","true"
"CON-013","Pacific Power","Control Center","SCADA","GE","SCADA-6968","2024-11-07","Current","2026-01-10","Critical","true","true"
"CON-014","Pacific Power","Control Center","EMS","Siemens","EMS-6344","2025-09-07","Current","2025-12-07","Critical","true","true"
"CON-015","Pacific Power","Control Center","Protection Relay","Schneider","ProtectionRelay-9569","2025-01-18","Overdue","2026-01-05","Critical","true","true"
"CON-017","Pacific Power","Control Center","SCADA","Schneider","SCADA-9255","2025-05-24","Current","2026-01-10","Critical","true","true"
"CON-018","Pacific Power","Control Center","IED","GE","IED-9443","2025-03-07","Overdue","2025-12-18","Critical","true","true"
"CON-020","Pacific Power","Control Center","DMS","Schneider","DMS-4579","2025-02-11","Current","2025-12-30","Critical","true","true"
"CON-021","Pacific Power","Control Center","SCADA","Schneider","SCADA-9421","2025-01-28","Overdue","2025-12-14","Critical","true","true"
"CON-022","Pacific Power","Control Center","Grid Controller","GE","GridController-7798","2025-06-30","Current","2025-11-11","Critical","true","true"
"CON-023","Pacific Power","Control Center","DMS","ABB","DMS-5829","2024-11-30","Current","2025-11-05","Critical","true","true"
"CON-025","Pacific Power","Control Center","EMS","Schneider","EMS-2656","2024-11-09","Overdue","2025-11-27","Critical","true","true"
"CON-026","Pacific Power","Control Center","Grid Controller","Siemens","GridController-7459","2025-06-29","Current","2026-01-14","Critical","true","true"
"CON-027","Pacific Power","Control Center","HMI","Honeywell","HMI-8116","2025-02-23","Current","2025-12-20","Critical","true","true"
"CON-028","Pacific Power","Control Center","HMI","GE","HMI-6697","2024-12-12","Overdue","2025-10-25","Critical","true","true"
"CON-029","Pacific Power","Control Center","Grid Controller","Honeywell","GridController-2162","2025-02-01","Current","2025-11-21","Critical","true","true"
"CON-030","Pacific Power","Control Center","EMS","ABB","EMS-2818","2025-05-16","Current","2026-01-19","Critical","true","true"
"CON-031","Pacific Power","Control Center","SCADA","Schneider","SCADA-5666","2025-06-27","Current","2025-11-13","Critical","true","true"
"CON-032","Pacific Power","Control Center","RTU","Siemens","RTU-7625","2025-03-27","Current","2025-10-29","Critical","true","true"
"CON-034","Pacific Power","Control Center","RTU","Schneider","RTU-5154","2025-10-12","Current","2026-01-17","Critical","true","true"
"CON-035","Pacific Power","Control Center","IED","Honeywell","IED-5193","2025-02-15","Overdue","2025-10-26","Critical","true","true"
"CON-036","Pacific Power","Control Center","Environmental Monitor","ABB","EnvironmentalMonitor-3213","2024-12-22","Overdue","2026-01-10","Critical","true","true"
"CON-037","Pacific Power","Control Center","Environmental Monitor","Siemens","EnvironmentalMonitor-3699","2024-11-08","Current","2025-11-09","Critical","true","true"
"CON-038","Pacific Power","Control Center","Grid Controller","ABB","GridController-9007","2025-10-24","Overdue","2025-12-02","Critical","true","true"
"CON-039","Pacific Power","Control Center","Arc Flash Monitor","Honeywell","ArcFlashMonitor-5900","2025-02-19","Current","2025-12-25","Critical","true","true"
"CON-040","Pacific Power","Control Center","RTU","Siemens","RTU-2419","2025-05-03","Current","2025-12-25","Critical","true","true"
"CON-041","Pacific Power","Control Center","Arc Flash Monitor","Schneider","ArcFlashMonitor-5846","2025-06-04","Current","2026-01-18","Critical","true","true"
"CON-043","Pacific Power","Control Center","HMI","Schneider","HMI-2244","2025-09-21","Current","2025-10-25","Critical","true","true"
"CON-044","Pacific Power","Control Center","SCADA","Honeywell","SCADA-3516","2025-02-01","Current","2025-10-27","Critical","true","true"
"CON-045","Pacific Power","Control Center","EMS","GE","EMS-8737","2025-07-22","Overdue","2025-12-08","Critical","true","true"
"CON-046","Pacific Power","Control Center","Environmental Monitor","GE","EnvironmentalMonitor-1662","2025-04-21","Overdue","2026-01-09","Critical","true","true"
"CON-048","Pacific Power","Control Center","Protection Relay","Siemens","ProtectionRelay-7705","2025-03-26","Overdue","2025-11-20","Critical","true","true"
"CON-049","Pacific Power","Control Center","IED","ABB","IED-7564","2024-12-08","Current","2025-10-30","Critical","true","true"
"CON-050","Pacific Power","Control Center","Environmental Monitor","Honeywell","EnvironmentalMonitor-5679","2025-02-05","Current","2025-12-20","Critical","true","true"
"CON-051","Pacific Power","Control Center","DMS","Honeywell","DMS-7118","2025-04-09","Overdue","2025-12-02","Critical","true","true"
"SUB-002","Pacific Power","Substation","Protection Relay","Honeywell","ProtectionRelay-7511","2025-08-15","Current","2025-11-02","High","true","true"
"SUB-003","Pacific Power","Substation","DMS","GE","DMS-4498","2025-08-08","Current","2026-01-07","High","true","true"
"SUB-004","Pacific Power","Substation","EMS","ABB","EMS-4845","2025-04-08","Current","2025-11-23","High","true","true"
"SUB-005","Pacific Power","Substation","Arc Flash Monitor","Siemens","ArcFlashMonitor-3683","2024-12-17","Current","2025-12-26","High","true","true"
"SUB-006","Pacific Power","Substation","Environmental Monitor","Schneider","EnvironmentalMonitor-8453","2025-09-29","Current","2025-12-30","High","true","true"
"SUB-007","Pacific Power","Substation","DMS","ABB","DMS-9532","2025-08-29","Overdue","2025-10-26","High","true","true"
"SUB-008","Pacific Power","Substation","EMS","Schneider","EMS-3196","2025-06-13","Current","2026-01-16","High","true","true"
"SUB-009","Pacific Power","Substation","Environmental Monitor","ABB","EnvironmentalMonitor-1049","2025-07-22","Current","2025-12-05","High","true","true"
"SUB-013","Pacific Power","Substation","RTU","ABB","RTU-4960","2024-10-25","Overdue","2025-12-24","High","true","true"
"SUB-014","Pacific Power","Substation","Arc Flash Monitor","GE","ArcFlashMonitor-9660","2025-03-26","Current","2025-12-05","High","true","true"
"SUB-015","Pacific Power","Substation","EMS","Honeywell","EMS-3555","2025-10-22","Overdue","2025-12-09","High","true","true"
"SUB-016","Pacific Power","Substation","EMS","Siemens","EMS-4986","2025-09-17","Current","2025-12-20","High","true","true"
"SUB-017","Pacific Power","Substation","Protection Relay","GE","ProtectionRelay-2723","2025-09-26","Current","2025-11-13","High","true","true"
"SUB-018","Pacific Power","Substation","IED","GE","IED-9531","2025-09-14","Current","2025-12-05","High","true","true"
"SUB-019","Pacific Power","Substation","Environmental Monitor","Honeywell","EnvironmentalMonitor-7211","2025-09-01","Current","2025-11-26","High","true","true"
"SUB-020","Pacific Power","Substation","EMS","GE","EMS-1575","2025-02-27","Current","2025-12-07","High","true","true"
"SUB-022","Pacific Power","Substation","Arc Flash Monitor","Siemens","ArcFlashMonitor-6283","2025-09-22","Overdue","2025-12-13","High","true","true"
"SUB-023","Pacific Power","Substation","DMS","GE","DMS-7307","2025-10-03","Current","2025-11-28","High","true","true"
"SUB-024","Pacific Power","Substation","IED","Siemens","IED-3535","2025-03-13","Current","2026-01-14","High","true","true"
"SUB-026","Pacific Power","Substation","DMS","Siemens","DMS-2138","2024-12-17","Overdue","2025-12-03","High","true","true"
"SUB-027","Pacific Power","Substation","IED","Honeywell","IED-7620","2025-05-26","Current","2025-11-29","High","true","true"
"SUB-028","Pacific Power","Substation","Protection Relay","Siemens","ProtectionRelay-2152","2025-07-27","Current","2025-10-25","High","true","true"
"SUB-029","Pacific Power","Substation","EMS","Siemens","EMS-2757","2025-10-04","Current","2026-01-19","High","true","true"
"SUB-030","Pacific Power","Substation","IED","Honeywell","IED-9850","2024-11-10","Current","2025-12-22","High","true","true"
"SUB-032","Pacific Power","Substation","Protection Relay","Honeywell","ProtectionRelay-8582","2025-09-12","Current","2025-11-21","High","true","true"
"SUB-033","Pacific Power","Substation","Grid Controller","Schneider","GridController-9275","2025-09-02","Current","2025-11-08","High","true","true"
"SUB-034","Pacific Power","Substation","DMS","ABB","DMS-1036","2024-12-29","Current","2025-11-29","High","true","true"
"SUB-035","Pacific Power","Substation","Arc Flash Monitor","Schneider","ArcFlashMonitor-7473","2024-11-08","Current","2025-11-15","High","true","true"
"SUB-036","Pacific Power","Substation","Environmental Monitor","Siemens","EnvironmentalMonitor-1142","2025-02-11","Current","2025-12-24","High","true","true"
"SUB-037","Pacific Power","Substation","DMS","Honeywell","DMS-7792","2025-10-04","Current","2025-11-06","High","true","true"
"SUB-038","Pacific Power","Substation","Environmental Monitor","ABB","EnvironmentalMonitor-5237","2025-09-07","Current","2025-11-02","High","true","true"
"SUB-041","Pacific Power","Substation","Arc Flash Monitor","Honeywell","ArcFlashMonitor-4736","2025-06-29","Current","2025-10-25","High","true","true"
"SUB-043","Pacific Power","Substation","RTU","ABB","RTU-2424","2025-07-23","Overdue","2025-12-15","High","true","true"
"SUB-044","Pacific Power","Substation","HMI","GE","HMI-7541","2025-01-31","Current","2025-11-23","High","true","true"
"SUB-046","Pacific Power","Substation","EMS","GE","EMS-2287","2025-07-20","Current","2025-11-15","High","true","true"
"SUB-047","Pacific Power","Substation","Protection Relay","GE","ProtectionRelay-6180","2025-07-24","Current","2025-11-16","High","true","true"
"SUB-048","Pacific Power","Substation","DMS","Siemens","DMS-6021","2025-09-05","Overdue","2025-12-04","High","true","true"
"SUB-049","Pacific Power","Substation","Grid Controller","Schneider","GridController-4193","2024-12-25","Current","2025-10-28","High","true","true"
"SUB-050","Pacific Power","Substation","Grid Controller","Siemens","GridController-8410","2025-06-13","Current","2025-11-06","High","true","true"
"SUB-051","Pacific Power","Substation","Arc Flash Monitor","Siemens","ArcFlashMonitor-7847","2025-01-03","Current","2025-11-29","High","true","true"
"SUB-054","Pacific Power","Substation","Arc Flash Monitor","GE","ArcFlashMonitor-1681","2024-10-28","Current","2025-11-17","High","true","true"
"SUB-055","Pacific Power","Substation","DMS","ABB","DMS-7889","2024-10-29","Current","2026-01-14","High","true","true"
"SUB-056","Pacific Power","Substation","Arc Flash Monitor","Siemens","ArcFlashMonitor-8836","2025-05-23","Current","2025-11-12","High","true","true"
"SUB-057","Pacific Power","Substation","Protection Relay","GE","ProtectionRelay-5494","2024-11-01","Current","2026-01-02","High","true","true"
"ENV-002","Pacific Power","Environmental Controls","Protection Relay","Siemens","ProtectionRelay-1741","2025-01-16","Current","2025-12-02","Medium","true","false"
"ENV-003","Pacific Power","Environmental Controls","EMS","Honeywell","EMS-3475","2025-09-26","Current","2025-12-27","Medium","true","false"
"ENV-004","Pacific Power","Environmental Controls","HMI","GE","HMI-9718","2025-03-16","Overdue","2025-10-26","Medium","true","false"
"ENV-005","Pacific Power","Environmental Controls","Protection Relay","Schneider","ProtectionRelay-9319","2025-08-13","Overdue","2026-01-01","Medium","true","false"
