tag_id,plant,unit,device_type,criticality,manufacturer,model,location,description,installation_date,expected_ip,expected_protocol
"API-0024","Boston Pharma","API Manufacturing","Serialization System","Medium","ABB","SerializationSystem-5581","API Manufacturing - Station 24","Serialization System for API Manufacturing operations","2025-03-28","192.168.99.198","Profinet"
"API-0025","Boston Pharma","API Manufacturing","PLC","Low","Schneider","PLC-3968","API Manufacturing - Station 25","PLC for API Manufacturing operations","2024-01-31","192.168.242.120","OPC UA"
"API-0026","Boston Pharma","API Manufacturing","Batch Controller","Medium","Emerson","BatchController-1398","API Manufacturing - Station 26","Batch Controller for API Manufacturing operations","2025-08-03","192.168.217.253","DNP3"
"API-0027","Boston Pharma","API Manufacturing","HMI","Critical","Rockwell","HMI-8347","API Manufacturing - Station 27","HMI for API Manufacturing operations","2025-03-12","192.168.208.197","OPC UA"
"FOR-0028","Boston Pharma","Formulation","HMI","Low","Emerson","HMI-5558","Formulation - Station 1","HMI for Formulation operations","2022-07-11","192.168.148.238","OPC UA"
"FOR-0029","Boston Pharma","Formulation","Serialization System","Critical","Schneider","SerializationSystem-1606","Formulation - Station 2","Serialization System for Formulation operations","2025-05-11","192.168.35.25","Modbus TCP"
"FOR-0030","Boston Pharma","Formulation","SCADA","Medium","ABB","SCADA-4826","Formulation - Station 3","SCADA for Formulation operations","2023-11-09","192.168.162.93","DNP3"
"FOR-0031","Boston Pharma","Formulation","Batch Controller","Medium","Emerson","BatchController-5298","Formulation - Station 4","Batch Controller for Formulation operations","2021-02-11","192.168.153.70","Profinet"
"FOR-0032","Boston Pharma","Formulation","Batch Controller","Critical","Rockwell","BatchController-4922","Formulation - Station 5","Batch Controller for Formulation operations","2025-09-05","192.168.154.66","Ethernet/IP"
"FOR-0033","Boston Pharma","Formulation","Safety PLC","High","Honeywell","SafetyPLC-8293","Formulation - Station 6","Safety PLC for Formulation operations","2021-07-07","192.168.253.166","Ethernet/IP"
"FOR-0034","Boston Pharma","Formulation","Temperature Controller","Medium","Schneider","TemperatureController-8984","Formulation - Station 7","Temperature Controller for Formulation operations","2021-08-15","192.168.40.41","Ethernet/IP"
"FOR-0035","Boston Pharma","Formulation","Environmental Monitor","Low","Emerson","EnvironmentalMonitor-7259","Formulation - Station 8","Environmental Monitor for Formulation operations","2025-01-08","192.168.21.150","Ethernet/IP"
"FOR-0036","Boston Pharma","Formulation","Batch Controller","Critical","Emerson","BatchController-7362","Formulation - Station 9","Batch Controller for Formulation operations","2024-12-23","192.168.20.79","Ethernet/IP"
"FOR-0037","Boston Pharma","Formulation","Environmental Monitor","Low","Schneider","EnvironmentalMonitor-1570","Formulation - Station 10","Environmental Monitor for Formulation operations","2023-05-27","192.168.44.45","Ethernet/IP"
"FOR-0038","Boston Pharma","Formulation","Serialization System","Critical","ABB","SerializationSystem-9666","Formulation - Station 11","Serialization System for Formulation operations","2022-01-10","192.168.150.247","OPC UA"
"FOR-0039","Boston Pharma","Formulation","HMI","High","Emerson","HMI-5776","Formulation - Station 12","HMI for Formulation operations","2024-01-15","192.168.130.13","Ethernet/IP"
"FOR-0040","Boston Pharma","Formulation","MES","Low","ABB","MES-9212","Formulation - Station 13","MES for Formulation operations","2025-05-20","192.168.131.6","DNP3"
"FOR-0041","Boston Pharma","Formulation","SCADA","High","Rockwell","SCADA-9223","Formulation - Station 14","SCADA for Formulation operations","2023-11-15","192.168.88.2","OPC UA"
"FOR-0042","Boston Pharma","Formulation","MES","High","ABB","MES-2701","Formulation - Station 15","MES for Formulation operations","2021-08-27","192.168.57.0","Profinet"
"FOR-0043","Boston Pharma","Formulation","HMI","Low","Emerson","HMI-7580","Formulation - Station 16","HMI for Formulation operations","2024-09-11","192.168.55.172","Ethernet/IP"
"FOR-0044","Boston Pharma","Formulation","Safety PLC","Critical","ABB","SafetyPLC-9431","Formulation - Station 17","Safety PLC for Formulation operations","2024-07-21","192.168.204.90","Ethernet/IP"
"FOR-0045","Boston Pharma","Formulation","Temperature Controller","Low","Siemens","TemperatureController-7328","Formulation - Station 18","Temperature Controller for Formulation operations","2024-10-29","192.168.205.28","Ethernet/IP"
"FOR-0046","Boston Pharma","Formulation","LIMS","High","ABB","LIMS-8983","Formulation - Station 19","LIMS for Formulation operations","2025-02-01","192.168.223.80","Modbus TCP"
"FOR-0047","Boston Pharma","Formulation","LIMS","High","ABB","LIMS-3097","Formulation - Station 20","LIMS for Formulation operations","2025-05-21","192.168.122.5","OPC UA"
"FOR-0048","Boston Pharma","Formulation","PLC","Critical","Emerson","PLC-5258","Formulation - Station 21","PLC for Formulation operations","2021-11-16","192.168.46.47","OPC UA"
"FOR-0049","Boston Pharma","Formulation","LIMS","Low","Honeywell","LIMS-4595","Formulation - Station 22","LIMS for Formulation operations","2025-03-22","192.168.12.34","OPC UA"
"FOR-0050","Boston Pharma","Formulation","Temperature Controller","High","Siemens","TemperatureController-3907","Formulation - Station 23","Temperature Controller for Formulation operations","2022-04-01","192.168.32.166","Profinet"
"FOR-0051","Boston Pharma","Formulation","PLC","High","Emerson","PLC-4679","Formulation - Station 24","PLC for Formulation operations","2022-01-30","192.168.46.132","Ethernet/IP"
"FOR-0052","Boston Pharma","Formulation","MES","Critical","Schneider","MES-8927","Formulation - Station 25","MES for Formulation operations","2021-01-26","192.168.123.78","Modbus TCP"
"PAC-0053","Boston Pharma","Packaging","Serialization System","Medium","Schneider","SerializationSystem-6762","Packaging - Station 1","Serialization System for Packaging operations","2022-10-06","192.168.161.201","Profinet"
"PAC-0054","Boston Pharma","Packaging","Environmental Monitor","Low","Emerson","EnvironmentalMonitor-1201","Packaging - Station 2","Environmental Monitor for Packaging operations","2021-01-16","192.168.48.48","Modbus TCP"
"PAC-0055","Boston Pharma","Packaging","Environmental Monitor","Critical","Emerson","EnvironmentalMonitor-9053","Packaging - Station 3","Environmental Monitor for Packaging operations","2023-06-07","192.168.209.9","Ethernet/IP"
"PAC-0056","Boston Pharma","Packaging","Safety PLC","Low","Schneider","SafetyPLC-9653","Packaging - Station 4","Safety PLC for Packaging operations","2024-04-01","192.168.45.43","OPC UA"
"PAC-0057","Boston Pharma","Packaging","Safety PLC","Low","Honeywell","SafetyPLC-8783","Packaging - Station 5","Safety PLC for Packaging operations","2021-05-15","192.168.238.219","Modbus TCP"
"PAC-0058","Boston Pharma","Packaging","Serialization System","Low","Honeywell","SerializationSystem-1799","Packaging - Station 6","Serialization System for Packaging operations","2024-03-28","192.168.232.187","Ethernet/IP"
"PAC-0059","Boston Pharma","Packaging","LIMS","High","Siemens","LIMS-4300","Packaging - Station 7","LIMS for Packaging operations","2025-04-29","192.168.230.8","OPC UA"
"PAC-0060","Boston Pharma","Packaging","PLC","Critical","Emerson","PLC-9406","Packaging - Station 8","PLC for Packaging operations","2025-06-09","192.168.113.159","DNP3"
"PAC-0061","Boston Pharma","Packaging","Serialization System","Medium","ABB","SerializationSystem-7823","Packaging - Station 9","Serialization System for Packaging operations","2025-08-24","192.168.192.145","DNP3"
"PAC-0062","Boston Pharma","Packaging","LIMS","High","Emerson","LIMS-5105","Packaging - Station 10","LIMS for Packaging operations","2024-12-01","192.168.79.239","Modbus TCP"
"PAC-0063","Boston Pharma","Packaging","SCADA","Medium","Emerson","SCADA-7448","Packaging - Station 11","SCADA for Packaging operations","2024-11-01","192.168.140.112","Modbus TCP"
"PAC-0064","Boston Pharma","Packaging","SCADA","High","ABB","SCADA-3785","Packaging - Station 12","SCADA for Packaging operations","2022-05-19","192.168.38.18","Ethernet/IP"
"PAC-0065","Boston Pharma","Packaging","PLC","Medium","Honeywell","PLC-3008","Packaging - Station 13","PLC for Packaging operations","2023-12-24","192.168.5.109","DNP3"
"PAC-0066","Boston Pharma","Packaging","MES","Medium","Schneider","MES-4306","Packaging - Station 14","MES for Packaging operations","2021-01-08","192.168.178.105","Modbus TCP"
"PAC-0067","Boston Pharma","Packaging","HMI","High","Schneider","HMI-6870","Packaging - Station 15","HMI for Packaging operations","2022-08-25","192.168.168.41","DNP3"
"PAC-0068","Boston Pharma","Packaging","PLC","High","Rockwell","PLC-4344","Packaging - Station 16","PLC for Packaging operations","2025-07-08","192.168.48.162","DNP3"
"PAC-0069","Boston Pharma","Packaging","Serialization System","Critical","Emerson","SerializationSystem-4443","Packaging - Station 17","Serialization System for Packaging operations","2022-02-21","192.168.187.77","Profinet"
"PAC-0070","Boston Pharma","Packaging","Batch Controller","High","Rockwell","BatchController-2891","Packaging - Station 18","Batch Controller for Packaging operations","2025-02-23","192.168.3.158","Profinet"
"PAC-0071","Boston Pharma","Packaging","Environmental Monitor","Medium","Honeywell","EnvironmentalMonitor-4414","Packaging - Station 19","Environmental Monitor for Packaging operations","2021-05-28","192.168.194.157","Ethernet/IP"
"PAC-0072","Boston Pharma","Packaging","LIMS","Medium","Schneider","LIMS-9637","Packaging - Station 20","LIMS for Packaging operations","2021-01-20","192.168.166.20","DNP3"
"PAC-0073","Boston Pharma","Packaging","SCADA","Low","Schneider","SCADA-4383","Packaging - Station 21","SCADA for Packaging operations","2021-08-17","192.168.160.123","Modbus TCP"
"PAC-0074","Boston Pharma","Packaging","SCADA","Low","Rockwell","SCADA-6523","Packaging - Station 22","SCADA for Packaging operations","2025-04-16","192.168.48.101","Modbus TCP"
"PAC-0075","Boston Pharma","Packaging","PLC","High","Emerson","PLC-5802","Packaging - Station 23","PLC for Packaging operations","2023-05-16","192.168.1.163","Profinet"
"PAC-0076","Boston Pharma","Packaging","Environmental Monitor","High","Schneider","EnvironmentalMonitor-4665","Packaging - Station 24","Environmental Monitor for Packaging operations","2025-10-09","192.168.169.159","Modbus TCP"
"PAC-0077","Boston Pharma","Packaging","Temperature Controller","High","Schneider","TemperatureController-4470","Packaging - Station 25","Temperature Controller for Packaging operations","2023-07-11","192.168.134.190","OPC UA"
"PAC-0078","Boston Pharma","Packaging","Environmental Monitor","High","Rockwell","EnvironmentalMonitor-7167","Packaging - Station 26","Environmental Monitor for Packaging operations","2024-03-11","192.168.167.127","DNP3"
"PAC-0079","Boston Pharma","Packaging","SCADA","Critical","Schneider","SCADA-1769","Packaging - Station 27","SCADA for Packaging operations","2022-06-17","192.168.218.186","OPC UA"
"PAC-0080","Boston Pharma","Packaging","HMI","Critical","Honeywell","HMI-1207","Packaging - Station 28","HMI for Packaging operations","2023-12-01","192.168.183.181","DNP3"
"PAC-0081","Boston Pharma","Packaging","Serialization System","High","Emerson","SerializationSystem-6834","Packaging - Station 29","Serialization System for Packaging operations","2024-06-16","192.168.161.254","OPC UA"
"PAC-0082","Boston Pharma","Packaging","Serialization System","Medium","ABB","SerializationSystem-5204","Packaging - Station 30","Serialization System for Packaging operations","2022-06-22","192.168.158.8","Modbus TCP"
"PAC-0083","Boston Pharma","Packaging","SCADA","Critical","Rockwell","SCADA-5326","Packaging - Station 31","SCADA for Packaging operations","2025-08-12","192.168.206.23","DNP3"
"PAC-0084","Boston Pharma","Packaging","HMI","Low","ABB","HMI-4698","Packaging - Station 32","HMI for Packaging operations","2023-01-05","192.168.129.71","DNP3"
"PAC-0085","Boston Pharma","Packaging","LIMS","Low","Honeywell","LIMS-6350","Packaging - Station 33","LIMS for Packaging operations","2025-07-27","192.168.63.173","Ethernet/IP"
"PAC-0086","Boston Pharma","Packaging","Batch Controller","Medium","Honeywell","BatchController-1568","Packaging - Station 34","Batch Controller for Packaging operations","2023-11-30","192.168.165.168","Modbus TCP"
"PAC-0087","Boston Pharma","Packaging","SCADA","Critical","Siemens","SCADA-5749","Packaging - Station 35","SCADA for Packaging operations","2021-02-05","192.168.57.129","OPC UA"
"PAC-0088","Boston Pharma","Packaging","MES","High","Honeywell","MES-3656","Packaging - Station 36","MES for Packaging operations","2021-09-18","192.168.1.100","Modbus TCP"
"PAC-0089","Boston Pharma","Packaging","HMI","High","Siemens","HMI-6121","Packaging - Station 37","HMI for Packaging operations","2024-01-22","192.168.62.127","Profinet"
"PAC-0090","Boston Pharma","Packaging","SCADA","Low","Siemens","SCADA-9293","Packaging - Station 38","SCADA for Packaging operations","2021-12-21","192.168.226.39","OPC UA"
"PAC-0091","Boston Pharma","Packaging","Safety PLC","Critical","Schneider","SafetyPLC-5036","Packaging - Station 39","Safety PLC for Packaging operations","2023-07-03","192.168.127.192","Profinet"
"PAC-0092","Boston Pharma","Packaging","HMI","Medium","Honeywell","HMI-1140","Packaging - Station 40","HMI for Packaging operations","2025-06-22","192.168.69.208","OPC UA"
"QUA-0093","Boston Pharma","Quality Control Lab","Batch Controller","Low","Siemens","BatchController-1312","Quality Control Lab - Station 1","Batch Controller for Quality Control Lab operations","2020-11-05","192.168.215.6","Modbus TCP"
"QUA-0094","Boston Pharma","Quality Control Lab","Safety PLC","High","Emerson","SafetyPLC-7666","Quality Control Lab - Station 2","Safety PLC for Quality Control Lab operations","2023-12-28","192.168.3.15","DNP3"
"QUA-0095","Boston Pharma","Quality Control Lab","Safety PLC","Medium","Emerson","SafetyPLC-2382","Quality Control Lab - Station 3","Safety PLC for Quality Control Lab operations","2021-02-13","192.168.17.79","DNP3"
"QUA-0096","Boston Pharma","Quality Control Lab","Environmental Monitor","Critical","Siemens","EnvironmentalMonitor-5689","Quality Control Lab - Station 4","Environmental Monitor for Quality Control Lab operations","2022-12-12","192.168.17.154","Ethernet/IP"
"QUA-0097","Boston Pharma","Quality Control Lab","HMI","High","Schneider","HMI-7645","Quality Control Lab - Station 5","HMI for Quality Control Lab operations","2025-08-22","192.168.171.57","DNP3"
"QUA-0098","Boston Pharma","Quality Control Lab","MES","High","Honeywell","MES-7342","Quality Control Lab - Station 6","MES for Quality Control Lab operations","2023-04-07","192.168.147.213","Profinet"
"QUA-0099","Boston Pharma","Quality Control Lab","Batch Controller","Medium","Rockwell","BatchController-3258","Quality Control Lab - Station 7","Batch Controller for Quality Control Lab operations","2025-09-23","192.168.94.68","Profinet"
"QUA-0100","Boston Pharma","Quality Control Lab","MES","High","ABB","MES-7748","Quality Control Lab - Station 8","MES for Quality Control Lab operations","2021-07-09","192.168.245.140","OPC UA"
"QUA-0101","Boston Pharma","Quality Control Lab","Environmental Monitor","Medium","ABB","EnvironmentalMonitor-1120","Quality Control Lab - Station 9","Environmental Monitor for Quality Control Lab operations","2024-05-05","192.168.181.201","Modbus TCP"
"QUA-0102","Boston Pharma","Quality Control Lab","Serialization System","High","Schneider","SerializationSystem-6136","Quality Control Lab - Station 10","Serialization System for Quality Control Lab operations","2022-07-14","192.168.2.229","Profinet"
"QUA-0103","Boston Pharma","Quality Control Lab","Temperature Controller","High","Siemens","TemperatureController-8863","Quality Control Lab - Station 11","Temperature Controller for Quality Control Lab operations","2024-01-09","192.168.90.10","Ethernet/IP"
"QUA-0104","Boston Pharma","Quality Control Lab","LIMS","High","Schneider","LIMS-1801","Quality Control Lab - Station 12","LIMS for Quality Control Lab operations","2025-05-18","192.168.80.105","Profinet"
"QUA-0105","Boston Pharma","Quality Control Lab","Serialization System","Critical","Rockwell","SerializationSystem-8652","Quality Control Lab - Station 13","Serialization System for Quality Control Lab operations","2023-05-22","192.168.198.221","DNP3"
"QUA-0106","Boston Pharma","Quality Control Lab","PLC","High","Schneider","PLC-1004","Quality Control Lab - Station 14","PLC for Quality Control Lab operations","2023-07-01","192.168.48.93","OPC UA"
"QUA-0107","Boston Pharma","Quality Control Lab","Temperature Controller","Critical","Emerson","TemperatureController-1776","Quality Control Lab - Station 15","Temperature Controller for Quality Control Lab operations","2021-10-01","192.168.0.94","Modbus TCP"
"QUA-0108","Boston Pharma","Quality Control Lab","SCADA","Critical","Emerson","SCADA-3970","Quality Control Lab - Station 16","SCADA for Quality Control Lab operations","2023-10-14","192.168.68.60","Ethernet/IP"
"QUA-0109","Boston Pharma","Quality Control Lab","Temperature Controller","Medium","Honeywell","TemperatureController-7770","Quality Control Lab - Station 17","Temperature Controller for Quality Control Lab operations","2021-09-28","192.168.65.104","OPC UA"
"QUA-0110","Boston Pharma","Quality Control Lab","Safety PLC","High","Siemens","SafetyPLC-8209","Quality Control Lab - Station 18","Safety PLC for Quality Control Lab operations","2023-11-13","192.168.1.35","Modbus TCP"
"QUA-0111","Boston Pharma","Quality Control Lab","HMI","Critical","Schneider","HMI-1518","Quality Control Lab - Station 19","HMI for Quality Control Lab operations","2024-05-23","192.168.216.83","Profinet"
"QUA-0112","Boston Pharma","Quality Control Lab","MES","High","Rockwell","MES-9936","Quality Control Lab - Station 20","MES for Quality Control Lab operations","2023-01-04","192.168.89.55","Modbus TCP"
"QUA-0113","Boston Pharma","Quality Control Lab","MES","Critical","Siemens","MES-8211","Quality Control Lab - Station 21","MES for Quality Control Lab operations","2025-05-31","192.168.65.192","Ethernet/IP"
"QUA-0114","Boston Pharma","Quality Control Lab","MES","Critical","Honeywell","MES-5551","Quality Control Lab - Station 22","MES for Quality Control Lab operations","2025-09-27","192.168.169.161","Modbus TCP"
"QUA-0115","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Siemens","BatchController-2861","Quality Control Lab - Station 23","Batch Controller for Quality Control Lab operations","2025-09-16","192.168.36.134","OPC UA"
"QUA-0116","Boston Pharma","Quality Control Lab","Environmental Monitor","Medium","Rockwell","EnvironmentalMonitor-8609","Quality Control Lab - Station 24","Environmental Monitor for Quality Control Lab operations","2020-10-29","192.168.197.69","Profinet"
"QUA-0117","Boston Pharma","Quality Control Lab","MES","Medium","Rockwell","MES-2882","Quality Control Lab - Station 25","MES for Quality Control Lab operations","2021-05-17","192.168.133.40","OPC UA"
"QUA-0118","Boston Pharma","Quality Control Lab","Environmental Monitor","Medium","Schneider","EnvironmentalMonitor-5037","Quality Control Lab - Station 26","Environmental Monitor for Quality Control Lab operations","2021-04-21","192.168.43.28","Ethernet/IP"
"QUA-0119","Boston Pharma","Quality Control Lab","HMI","Medium","Emerson","HMI-4658","Quality Control Lab - Station 27","HMI for Quality Control Lab operations","2021-12-10","192.168.234.161","DNP3"
"QUA-0120","Boston Pharma","Quality Control Lab","LIMS","High","Schneider","LIMS-2582","Quality Control Lab - Station 28","LIMS for Quality Control Lab operations","2023-10-27","192.168.19.116","Modbus TCP"
"QUA-0121","Boston Pharma","Quality Control Lab","Temperature Controller","Critical","ABB","TemperatureController-2601","Quality Control Lab - Station 29","Temperature Controller for Quality Control Lab operations","2022-09-14","192.168.58.121","Profinet"
"QUA-0122","Boston Pharma","Quality Control Lab","PLC","Critical","Schneider","PLC-1670","Quality Control Lab - Station 30","PLC for Quality Control Lab operations","2025-05-31","192.168.5.200","Profinet"
"QUA-0123","Boston Pharma","Quality Control Lab","Temperature Controller","Medium","ABB","TemperatureController-2602","Quality Control Lab - Station 31","Temperature Controller for Quality Control Lab operations","2022-11-06","192.168.17.65","Profinet"
"QUA-0124","Boston Pharma","Quality Control Lab","Batch Controller","Critical","Honeywell","BatchController-7735","Quality Control Lab - Station 32","Batch Controller for Quality Control Lab operations","2024-05-28","192.168.153.80","DNP3"
"QUA-0125","Boston Pharma","Quality Control Lab","Batch Controller","High","ABB","BatchController-1205","Quality Control Lab - Station 33","Batch Controller for Quality Control Lab operations","2025-04-30","192.168.69.93","DNP3"
"UTI-0126","Boston Pharma","Utilities","MES","Medium","Schneider","MES-6966","Utilities - Station 1","MES for Utilities operations","2022-12-12","192.168.158.133","DNP3"
"UTI-0127","Boston Pharma","Utilities","Serialization System","Critical","Schneider","SerializationSystem-4217","Utilities - Station 2","Serialization System for Utilities operations","2022-08-20","192.168.207.226","Profinet"
"UTI-0128","Boston Pharma","Utilities","Temperature Controller","High","Schneider","TemperatureController-8467","Utilities - Station 3","Temperature Controller for Utilities operations","2024-08-09","192.168.118.72","OPC UA"
"UTI-0129","Boston Pharma","Utilities","Serialization System","High","ABB","SerializationSystem-5150","Utilities - Station 4","Serialization System for Utilities operations","2023-12-26","192.168.195.242","Ethernet/IP"
"UTI-0130","Boston Pharma","Utilities","HMI","Medium","Honeywell","HMI-3216","Utilities - Station 5","HMI for Utilities operations","2021-09-03","192.168.237.102","OPC UA"
"UTI-0131","Boston Pharma","Utilities","LIMS","Low","Honeywell","LIMS-9217","Utilities - Station 6","LIMS for Utilities operations","2021-08-06","192.168.182.63","Modbus TCP"
"UTI-0132","Boston Pharma","Utilities","Safety PLC","Critical","Honeywell","SafetyPLC-6094","Utilities - Station 7","Safety PLC for Utilities operations","2022-07-09","192.168.163.134","DNP3"
"UTI-0133","Boston Pharma","Utilities","PLC","Medium","Emerson","PLC-6329","Utilities - Station 8","PLC for Utilities operations","2021-04-09","192.168.190.11","Profinet"
"UTI-0134","Boston Pharma","Utilities","MES","Low","Schneider","MES-2585","Utilities - Station 9","MES for Utilities operations","2025-05-15","192.168.69.217","Profinet"
"UTI-0135","Boston Pharma","Utilities","PLC","Low","Honeywell","PLC-1930","Utilities - Station 10","PLC for Utilities operations","2024-04-16","192.168.173.141","Ethernet/IP"
"UTI-0136","Boston Pharma","Utilities","MES","Medium","Siemens","MES-4479","Utilities - Station 11","MES for Utilities operations","2022-06-05","192.168.103.202","OPC UA"
"UTI-0137","Boston Pharma","Utilities","Batch Controller","Medium","Rockwell","BatchController-2032","Utilities - Station 12","Batch Controller for Utilities operations","2025-03-26","192.168.131.162","OPC UA"
"UTI-0138","Boston Pharma","Utilities","Batch Controller","Critical","Schneider","BatchController-3386","Utilities - Station 13","Batch Controller for Utilities operations","2023-11-06","192.168.78.9","Profinet"
"UTI-0139","Boston Pharma","Utilities","Batch Controller","High","Schneider","BatchController-8458","Utilities - Station 14","Batch Controller for Utilities operations","2021-01-29","192.168.126.145","OPC UA"
"UTI-0140","Boston Pharma","Utilities","LIMS","Low","ABB","LIMS-2503","Utilities - Station 15","LIMS for Utilities operations","2022-08-26","192.168.220.82","DNP3"
"UTI-0141","Boston Pharma","Utilities","Batch Controller","High","Rockwell","BatchController-8882","Utilities - Station 16","Batch Controller for Utilities operations","2022-03-14","192.168.1.111","Modbus TCP"
"UTI-0142","Boston Pharma","Utilities","Serialization System","Low","ABB","SerializationSystem-1579","Utilities - Station 17","Serialization System for Utilities operations","2021-12-30","192.168.171.25","DNP3"
"UTI-0143","Boston Pharma","Utilities","Safety PLC","High","Rockwell","SafetyPLC-2044","Utilities - Station 18","Safety PLC for Utilities operations","2021-03-20","192.168.183.116","DNP3"
"UTI-0144","Boston Pharma","Utilities","LIMS","Critical","Emerson","LIMS-6218","Utilities - Station 19","LIMS for Utilities operations","2024-09-11","192.168.81.205","DNP3"
"UTI-0145","Boston Pharma","Utilities","Safety PLC","High","ABB","SafetyPLC-2217","Utilities - Station 20","Safety PLC for Utilities operations","2025-05-03","192.168.150.33","Profinet"
"UTI-0146","Boston Pharma","Utilities","Batch Controller","High","Rockwell","BatchController-2564","Utilities - Station 21","Batch Controller for Utilities operations","2023-03-21","192.168.152.25","OPC UA"
"UTI-0147","Boston Pharma","Utilities","PLC","High","Schneider","PLC-7722","Utilities - Station 22","PLC for Utilities operations","2024-11-30","192.168.159.36","Ethernet/IP"
"UTI-0148","Boston Pharma","Utilities","Temperature Controller","Critical","ABB","TemperatureController-8847","Utilities - Station 23","Temperature Controller for Utilities operations","2022-07-11","192.168.124.238","Profinet"
"UTI-0149","Boston Pharma","Utilities","Serialization System","High","Schneider","SerializationSystem-9342","Utilities - Station 24","Serialization System for Utilities operations","2024-08-11","192.168.18.40","DNP3"
